n,h,x,v_1,v_2,S,ОЛП,u,|u-v|
0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0
1,0.01,0.01,1.97022387921875,1.9702238792069093,-7.89383373482148e-13,1.2630133975714367e-11,1.9702238792061253,1.2624790102222505e-11
2,0.02,0.03,1.9119949640754355,1.9119949637029547,-2.4832047529343983e-11,3.973127604695037e-10,1.9119949636662,4.0923553434879523e-10
3,0.04,0.07,1.800649057824819,1.8006490463056657,-7.679435605941384e-10,1.2287096969506214e-08,1.8006490451725312,1.2652287884051816e-08
4,0.08,0.15,1.5970328147813855,1.5970324704998276,-2.2952103861939578e-08,3.6723366179103325e-07,1.5970324375187541,3.7726263135695604e-07
5,0.16,0.31,1.256280694510616,1.2562710830209665,-6.407659766338724e-07,1.025225562614196e-05,1.2562702103792818,1.0484131334198565e-05
6,0.16,0.47,0.9882334093530305,0.988225848626175,-5.040484570321506e-07,8.06477531251441e-06,0.9882171485122834,1.6260840747128746e-05
7,0.16,0.63,0.7773782369090301,0.7773722893824062,-3.965017749241184e-07,6.344028398785895e-06,0.777359141803506,1.9095105524113976e-05
8,0.16,0.79,0.6115123385834749,0.6115076600553893,-3.119018723740652e-07,4.990429957985043e-06,0.6114923589974235,1.9979586051377396e-05
9,0.32,1.11,0.3785138094944251,0.3783998159753003,-7.5995679416518415e-06,0.00012159308706642946,0.37838131596396407,0.00013249353046101975
10,0.32,1.43,0.23429241723864971,0.23422185754842081,-4.703979348593309e-06,7.526366957749294e-05,0.23413607408825274,0.00015634315039697588
11,0.32,1.75,0.14502228293559263,0.1449786079098243,-2.911668384554996e-06,4.6586694152879936e-05,0.1448795140685029,0.00014276886708972092
12,0.32,2.07,0.08976586948790785,0.08973883552744577,-1.8022640308053746e-06,2.8836224492885994e-05,0.08964903711853378,0.00011683236937407027
13,0.32,2.39,0.05556326353308608,0.0555465300565647,-1.1155651014250571e-06,1.7849041622800914e-05,0.05547333526036093,8.992827272514409e-05
14,0.32,2.71,0.03439253997158745,0.03438218228696761,-6.905123079894993e-07,1.1048196927831989e-05,0.034325978547205344,6.656142438210555e-05
15,0.32,3.03,0.0212882888888068,0.02128187769083804,-4.2741319791738305e-07,6.838611166678129e-06,0.02124034543250454,4.7943456302261545e-05
16,0.32,3.35,0.013177021650267412,0.013173053247974496,-2.64560152861068e-07,4.232962445777088e-06,0.013143172989859226,3.384866040818599e-05
17,0.64,3.99,0.005122348955062929,0.005048591924733082,-4.917135355323131e-06,7.867416568517009e-05,0.005032427436957341,8.99215181055877e-05
18,0.64,4.63,0.001991228330182018,0.001962556506057712,-1.9114549416203845e-06,3.058327906592615e-05,0.0019268806647969323,6.434766538508554e-05
19,0.64,5.27,0.0007740570386171115,0.0007629113417941954,-7.430464548610772e-07,1.1888743277777234e-05,0.0007377888986737405,3.626813994337102e-05
20,0.64,5.91,0.00030090185537784257,0.0002965691503106733,-2.888470044779511e-07,4.621552071647217e-06,0.00028249412065358776,1.8407734724254813e-05
21,1.28,7.19,9.321429150058839e-05,4.547038890389415e-05,-3.182926839779616e-06,5.0926829436473856e-05,4.141560484870711e-05,5.179868665188128e-05
22,1.28,8.47,2.8876206592498425e-05,1.4085955304630589e-05,-9.860167525245224e-07,1.5776268040392358e-05,6.071816011659938e-06,2.2804390580838485e-05
23,1.28,9.75,8.945359061892201e-06,4.363590055572588e-06,-3.054512670879742e-07,4.887220273407587e-06,8.901705000838838e-07,8.055188561808318e-06
24,2.56,12.31,3.717076357921921e-05,8.584461401572942e-07,-2.4208211626041277e-06,3.873313860166604e-05,1.9132969857962336e-08,3.715163060936124e-05
25,1.28,13.59,1.1514872140691807e-05,5.617011146971677e-06,-3.931907329146753e-07,6.291051726634805e-06,2.8050265874074196e-09,1.15120671141044e-05
26,1.28,14.87,3.567112096954816e-06,1.7400547888227735e-06,-1.218038205421362e-07,1.948861128674179e-06,4.112364266746642e-10,3.5667008605281414e-06
27,2.56,17.43,1.4822465984773257e-05,3.42319809630036e-07,-9.653430783428814e-07,1.54454892534861e-05,8.838951813524535e-12,1.4822457145821445e-05
28,2.56,19.99,6.159198026249838e-05,1.4224458318780818e-06,-4.011302295374687e-06,6.4180836725995e-05,1.8998090658835596e-13,6.159198007251747e-05
29,1.28,21.27,1.9080150885336737e-05,9.307391250147146e-06,-6.515173090126394e-07,1.042427694420223e-05,2.785252357768864e-14,1.9080150857484213e-05
30,1.28,22.55,5.9107071449183045e-06,2.8832719559399813e-06,-2.0182901259855487e-07,3.229264201576878e-06,4.083373869388876e-15,5.910707140834931e-06
31,2.56,25.11,2.456083611061734e-05,5.672241548995975e-07,-1.599574130381183e-06,2.5593186086098926e-05,8.77664100916021e-17,2.4560836110529575e-05
32,2.56,27.67,0.00010205795273941671,2.3569937005676138e-06,-6.646730602589941e-06,0.00010634768964143905,1.8864162299985658e-18,0.00010205795273941483
33,1.28,28.95,3.161582285579282e-05,1.542235356431852e-05,-1.0795646194316201e-06,1.7273033910905922e-05,2.7656175279347912e-19,3.1615822855792545e-05
34,1.28,30.23,9.794045716368985e-06,4.777583571109425e-06,-3.3443080968397067e-07,5.350892954943531e-06,4.0545878418496776e-20,9.794045716368945e-06
35,1.28,31.51,3.0340292559157604e-06,1.4800143625123347e-06,-1.0360099289356171e-07,1.6576158862969874e-06,5.944308061842328e-21,3.0340292559157544e-06
36,2.56,34.07,1.260734011723656e-05,2.911622312580768e-07,-8.210785257318989e-07,1.3137256411710383e-05,1.2776458775364268e-22,1.260734011723656e-05
37,2.56,36.63,5.238743974593217e-05,1.2098700998372913e-06,-3.4118379764063253e-06,5.4589407622501205e-05,2.7461211151965437e-24,5.238743974593217e-05
38,1.28,37.91,1.6228740342311695e-05,7.916459192103292e-06,-5.541520766805602e-07,8.866433226888963e-06,4.026004743409796e-25,1.6228740342311695e-05
39,1.28,39.19,5.0273885186119555e-06,2.4523847945657012e-06,-1.7166691493641695e-07,2.746670638982671e-06,5.90240324953689e-26,5.0273885186119555e-06
40,2.56,41.75,2.0890371057579138e-05,4.824560131139806e-07,-1.3605276696310104e-06,2.1768442714096166e-05,1.2686390242350878e-27,2.0890371057579138e-05
41,2.56,44.31,8.680602290984878e-05,2.00475556953653e-06,-5.653417822687483e-06,9.045468516299973e-05,2.7267621437732753e-29,8.680602290984878e-05
42,1.28,45.59,2.6891033667322603e-05,1.3117578208199446e-05,-9.182303639415438e-07,1.46916858230647e-05,3.997623143506402e-30,2.6891033667322603e-05
43,1.28,46.87,8.330386158205543e-06,4.063603254773779e-06,-2.8445219356211764e-07,4.551235096993882e-06,5.860793848114617e-31,8.330386158205543e-06
44,2.56,49.43,3.4615358899272545e-05,7.994299383683561e-07,-2.2543952640602792e-06,3.607032422496447e-05,1.2596956653713065e-32,3.4615358899272545e-05
45,2.56,51.99,0.0001438376383722837,3.321881327696449e-06,-9.367717136305816e-06,0.00014988347418089305,2.707539644762856e-34,0.0001438376383722837
46,1.28,53.27,4.45584608813867e-05,2.1735835917637343e-05,-1.5215083309166238e-06,2.434413329466598e-05,3.96944162166169e-35,4.45584608813867e-05
47,1.28,54.55,1.3803455469557052e-05,6.733393327506885e-06,-4.7133747613667786e-07,7.541399618186846e-06,5.819477775055983e-36,1.3803455469557052e-05
48,1.28,55.83,4.276076397864012e-06,2.085891054510799e-06,-1.4601235622354752e-07,2.3361976995767604e-06,8.531759577860333e-37,4.276076397864012e-06
49,2.56,58.39,1.7768434305649996e-05,4.1035594584479316e-07,-1.1572052239870135e-06,1.8515283583792216e-05,1.83378239138682e-38,1.7768434305649996e-05
50,2.56,60.95,7.383339966327709e-05,1.7051572486680254e-06,-4.808549494307271e-06,7.693679190891634e-05,3.941458767411383e-40,7.383339966327709e-05
51,1.28,62.23,2.2872335001224956e-05,1.1157237274493295e-05,-7.810065151154441e-07,1.2496104241847105e-05,5.778452962522244e-41,2.2872335001224956e-05
