n  ,h     ,x      ,v[1]_1                  ,v[2]_1                  ,v[1]_2                  ,v[2]_2                  ,ОЛП
0  ,0.0   ,0.0    ,26.0                    ,3.0                     ,26.0                    ,3.0                     ,0.0
1  ,0.01  ,0.01   ,26.029467684969134      ,2.8936388017644035      ,26.029467684967816      ,2.8936388017654187      ,1.774607727330927e-12
2  ,0.02  ,0.03   ,26.08522748220484       ,2.6827476098107113      ,26.085227482161677      ,2.682747609844135       ,5.822974584443289e-11
3  ,0.04  ,0.07   ,26.18421547775445       ,2.2682742385455557      ,26.184215476396368      ,2.268274239610249       ,1.8407209928966377e-09
4  ,0.08  ,0.15   ,26.33342555726974       ,1.4684234383826045      ,26.333425515371196      ,1.4684234720681566      ,5.73446637028891e-08
5  ,0.16  ,0.31   ,26.447572380403813      ,-0.01622362587427073    ,26.447571137823093      ,-0.016222573740028556   ,1.7367329311340205e-06
6  ,0.32  ,0.63   ,26.0232213797929        ,-2.5389470459048553     ,26.023187659192004      ,-2.538915154691449      ,4.950676159627196e-05
7  ,0.64  ,1.27   ,23.19939562646663       ,-5.945830043433311      ,23.19866945932416       ,-5.944934980888163      ,0.001229425617835557
8  ,0.64  ,1.91   ,18.806338450411587      ,-7.5160076317953735     ,18.80588517372191       ,-7.514701697849305      ,0.0014745188994647112
9  ,0.64  ,2.55   ,13.871885028890011      ,-7.71476783544292       ,13.872239193629301      ,-7.713479335025425      ,0.0014253740141394672
10 ,0.32  ,2.87   ,11.441173296925971      ,-7.443565022183456      ,11.441900897299806      ,-7.442569170085565      ,0.0013155610014985155
11 ,0.32  ,3.19   ,9.126745029415236       ,-6.996308702912175      ,9.127758352338285       ,-6.995583166605022      ,0.0013293706573151304
12 ,0.32  ,3.51   ,6.977200954815893       ,-6.420529965216735      ,6.978419315641502       ,-6.420048325494484      ,0.001397447292423317
13 ,0.32  ,3.83   ,5.026751073313526       ,-5.758567955557111      ,5.028101981786682       ,-5.758301218674295      ,0.0014687896460534428
14 ,0.32  ,4.15   ,3.2969307159451944      ,-5.047269566488806      ,3.298350590018326       ,-5.047187485948019      ,0.0015170608678539432
15 ,0.32  ,4.47   ,1.7983754222907649      ,-4.317915162507534      ,1.7998099083334034      ,-4.317987364356754      ,0.00153205542149568
16 ,0.32  ,4.79   ,0.5325889346252759      ,-3.5963291962469075     ,0.5339928941098324      ,-3.59652610878609       ,0.001512214647146563
17 ,0.32  ,5.11   ,-0.5063485603817823     ,-2.9031368047310475     ,-0.5050113381894067     ,-2.9034303992912136     ,0.001460344563801458
18 ,0.32  ,5.43   ,-1.3301728230589207     ,-2.2541304760634557     ,-1.3289301251423367     ,-2.2544948300589347     ,0.001381344430700879
19 ,0.32  ,5.75   ,-1.9549585276338965     ,-1.6607144018213222     ,-1.9538303843479141     ,-1.6611260986662975     ,0.0012809781000169185
20 ,0.32  ,6.07   ,-2.3997929924352857     ,-1.1303979707711223     ,-2.398792458648763      ,-1.1308363535956718     ,0.0011651825300240182
21 ,0.32  ,6.39   ,-2.68561236176475       ,-0.6673138370116973     ,-2.6847463682383093     ,-0.6677611345247452     ,0.0010396689267307504
22 ,0.32  ,6.71   ,-2.8342047029713227     ,-0.27273996202268075    ,-2.83347493984762       ,-0.2731813054725527     ,0.0009096973707046154
23 ,0.32  ,7.03   ,-2.8673785085895704     ,0.05439113408929719     ,-2.8667823086875335     ,0.05396778398594265     ,0.0007799657716107825
24 ,0.32  ,7.35   ,-2.806290313638941      ,0.31700906408777224     ,-2.8058215090027048     ,0.31661306201671563     ,0.0006545852949188667
25 ,0.32  ,7.67   ,-2.6709214694637864     ,0.5194580379555075      ,-2.6705712001559077     ,0.5190962535220898      ,0.0005371347873967297
26 ,0.32  ,7.99   ,-2.479691456827391      ,0.6670919452316257      ,-2.4794489161447135     ,0.6667690013777641      ,0.0004308048858082681
27 ,0.32  ,8.31   ,-2.2491933598067773     ,0.7659162791390767      ,-2.2490464648403368     ,0.7656348153474193      ,0.0003386561630786203
28 ,0.32  ,8.63   ,-1.9940361399291233     ,0.822278879097032       ,-1.9939721206218282     ,0.822039827039675       ,0.00026397437253800017
29 ,0.32  ,8.95   ,-1.726778027380847      ,0.8426095921368367      ,-1.7267839309206343     ,0.8424124532543573      ,0.00021037574043089767
30 ,0.32  ,9.27   ,-1.4579355661976163     ,0.8332074350009995      ,-1.457998676705242      ,0.8330505513179444      ,0.00018037527673055802
