№ Узла,x,v1,v2,|v2 - v1|
0,0.0,1.0,1.0,0.0
1,0.01,0.9999844667137341,0.9999845288521358,6.213840175739449e-08
2,0.02,0.9999194405409801,0.9999195652682614,1.2472728128098964e-07
3,0.03,0.9998054425965798,0.9998056303440548,1.877474750111574e-07
4,0.04,0.9996430082270371,0.999643259406564,2.5117952684450273e-07
5,0.05,0.999432686603104,0.9994330016068163,3.150037122257032e-07
6,0.06,0.9991750403002764,0.9991754195003428,3.7920006645819626e-07
7,0.07,0.9988706448678873,0.9988710886162993,4.437484119046431e-07
8,0.08,0.9985200883875054,0.9985205970158912,5.086283858535268e-07
9,0.09,0.9981239710213612,0.9981245448408271,5.738194659432594e-07
10,0.1,0.9976829045515465,0.9976835438525481,6.393010015814937e-07
11,0.11,0.9971975119107421,0.9971982169629832,7.05052241034565e-07
12,0.12,0.9966684267052425,0.9966691977576014,7.710523589610219e-07
13,0.13,0.9960962927310554,0.9960971300115421,8.372804867207151e-07
14,0.14,0.9954817634838626,0.9954826671996021,9.037157394642392e-07
15,0.15,0.9948255016636347,0.9948264720008787,9.703372439995306e-07
16,0.16,0.994128178674689,0.9941292157988549,1.0371241659923314e-06
17,0.17,0.9933904741219917,0.9933915781777318,1.104055740164256e-06
18,0.18,0.9926130753044935,0.9926142464157892,1.1711112957168979e-06
19,0.19,0.9917966767062919,0.9917979149765741,1.2382702822000269e-06
20,0.2,0.9909419794864006,0.9909432849986984,1.3055122978222755e-06
21,0.21,0.9900496909679056,0.9900510637850195,1.3728171138760459e-06
22,0.22,0.9891205241272751,0.9891219642919735,1.44016469838526e-06
23,0.23,0.9881551970845744,0.9881567046198186,1.5075352441940026e-06
24,0.24,0.9871544325953312,0.9871560075045199,1.5749091887284905e-06
25,0.25,0.9861189575447746,0.9861205998120133,1.642267238644024e-06
26,0.26,0.985049502445159,0.9850512120355511,1.7095903921404698e-06
27,0.27,0.9839468009368593,0.9839485777968198,1.7768599605005875e-06
28,0.28,0.9828115892939109,0.9828134333514962,1.8440575852984864e-06
29,0.29,0.9816446059346422,0.9816465170999022,1.911165260048975e-06
30,0.3,0.980446590938022,0.9804485691033703,1.978165348304195e-06
31,0.31,0.9527992092856349,0.9527990904163302,1.1886930473270496e-07
32,0.32,0.9261380922764182,0.926136203915376,1.8883610422015806e-06
33,0.33,0.9003828404541716,0.9003794600134918,3.380440679823238e-06
34,0.34,0.8754626577204435,0.8754580211643614,4.636556082071586e-06
35,0.35,0.8513149759143207,0.8513092847458983,5.6911684224170145e-06
36,0.36,0.8278843084202705,0.8278777353392881,6.5730809823971725e-06
37,0.37,0.8051212895007949,0.8051139830132381,7.306487556757446e-06
38,0.38,0.7829818651618634,0.7829739533566478,7.911805215643497e-06
39,0.39,0.7614266083690274,0.7614182020290442,8.406339983224598e-06
40,0.4,0.7404201368657412,0.7404113320435781,8.804822163033243e-06
41,0.41,0.7199306160869579,0.7199214962476752,9.119839282645259e-06
42,0.42,0.6999293329941941,0.6999199708060658,9.362188128303472e-06
43,0.43,0.6803903292940967,0.6803807881316438,9.541162452886276e-06
44,0.44,0.6612900845994988,0.6612804198102424,9.664789256347284e-06
45,0.45,0.642607241769703,0.6425975017459757,9.740023727222713e-06
46,0.46,0.624322368016369,0.624312595105582,9.77291078696485e-06
47,0.47,0.6064177464526819,0.6064079777331614,9.76871952051983e-06
48,0.48,0.5888771936502469,0.5888674615947542,9.73205549270606e-06
49,0.49,0.5716858994920985,0.5716762325371529,9.666954945530826e-06
50,0.5,0.5548302862039024,0.5548207092398098,9.576964092650186e-06
51,0.51,0.5382978839343793,0.5382884187282804,9.465206098902001e-06
52,0.52,0.522077220660327,0.5220678862224787,9.334437848340649e-06
53,0.53,0.5061577245273323,0.5061485374291202,9.187098212071199e-06
54,0.54,0.4905296370170345,0.4905206116678168,9.025349217706147e-06
55,0.55,0.47518393556580624,0.47517508445454043,8.851111265806288e-06
56,0.56,0.46011226445612446,0.4601035983627824,8.666093342046821e-06
57,0.57,0.44530687296730237,0.44529840114829794,8.471819004429726e-06
58,0.58,0.4307605599119969,0.43075229026319894,8.26964879796499e-06
59,0.59,0.4164666238033322,0.4164585630036957,8.060799636500082e-06
60,0.6,0.4024188179981465,0.4024109716365441,7.846361602392715e-06
61,0.61,0.3886113102476856,0.38860368293514275,7.627312542834996e-06
62,0.62,0.3750386461604264,0.37503124162964513,7.404530781296437e-06
63,0.63,0.36169571614459534,0.3616885373383845,7.1788062108169015e-06
64,0.64,0.34857772545198296,0.3485707746019865,6.950849996467667e-06
65,0.65,0.3356801669912157,0.33567344568813723,6.721303078494056e-06
66,0.66,0.32299879661885017,0.32299230587521033,6.490743639842034e-06
67,0.67,0.31052961065146306,0.31052335095778694,6.259693676125e-06
68,0.68,0.29826882537210825,0.29826279674732153,6.028624786713621e-06
69,0.69,0.2862128583307719,0.2862070603674814,5.797963290532504e-06
70,0.7,0.27435831126133786,0.2743527431665884,5.568094749441865e-06
71,0.71,0.2627019544575572,0.26269661508957814,5.33936797902923e-06
72,0.72,0.2512407124679979,0.2512356003693905,5.112098607373827e-06
73,0.73,0.2399716509852761,0.2399667644130361,4.886572239987119e-06
74,0.74,0.2288919648183315,0.22888730177105296,4.663047278530286e-06
75,0.75,0.21799896684835476,0.21799452509092082,4.441757433942817e-06
76,0.76,0.2072900778794152,0.2072858549654428,4.222913972395936e-06
77,0.77,0.19676281730405648,0.19675881059633207,4.006707724407699e-06
78,0.78,0.18641479451228335,0.18641100120139914,3.7933108842092e-06
79,0.79,0.17624370097958747,0.17624011810096213,3.5828786253411238e-06
80,0.8,0.16624730297607074,0.1662439274255193,3.3755505514376782e-06
81,0.81,0.15642343484442234,0.1564202633924208,3.171452001543562e-06
82,0.82,0.14676999279957834,0.1467670221043516,2.970695226728326e-06
83,0.83,0.13728492920741145,0.13728215582696024,2.7733804512097837e-06
84,0.84,0.1279662473038358,0.1279636677070041,2.579596831697728e-06
85,0.85,0.11881199631931709,0.11880960689599232,2.3894233247695462e-06
86,0.86,0.10982026697700889,0.10981806404753625,2.2029294726444437e-06
87,0.87,0.10098918733562869,0.10098716715951234,2.0201761163490817e-06
88,0.88,0.09231691895078525,0.09231507773474211,1.8412160431441338e-06
89,0.89,0.0838016533308029,0.08379998723622696,1.66609457594169e-06
90,0.9,0.07544160866518715,0.07544011381507724,1.4948501099038003e-06
91,0.91,0.06723502680576836,0.06723369929116657,1.3275146017871498e-06
92,0.92,0.05918017048226557,0.059179006368248466,1.1641140171061992e-06
93,0.93,0.05127532073555237,0.0512743160668132,1.0046687391671028e-06
94,0.94,0.04351877455329869,0.043517925359355225,8.491939434626672e-07
95,0.95,0.035908842693922104,0.035908144993980595,6.976999415084228e-07
96,0.96,0.028443847685922678,0.028443297493426195,5.501924964824989e-07
97,0.97,0.021122121990710067,0.021121715317596445,4.066731136218027e-07
98,0.98,0.013942006317970445,0.013941739178662534,2.6713930791066876e-07
99,0.99,0.00690184808347406,0.006901716498622972,1.315848510872672e-07
100,1.0,-0.0,-0.0,0.0
