j     ,x[j] ,F[xj]              ,S[xj]              ,F[xj] - S[xj]
  0.0 ,1.0  ,1.3108324944320862 ,1.3108324944320862 ,0.0
  1.0 ,1.01 ,1.3212119493165797 ,1.3212159161958323 ,3.966879252637057e-06
  2.0 ,1.02 ,1.3316135940896285 ,1.3316135940896285 ,0.0
  3.0 ,1.03 ,1.34203794085677   ,1.3420368782777576 ,1.0625790123341972e-06
  4.0 ,1.04 ,1.3524854950614293 ,1.3524854950614293 ,0.0
  5.0 ,1.05 ,1.362956755756823  ,1.362957040789723  ,2.8503289994930014e-07
  6.0 ,1.06 ,1.3734522158662668 ,1.3734522158662668 ,0.0
  7.0 ,1.07 ,1.3839723624325007 ,1.3839722863487551 ,7.608374552603436e-08
  8.0 ,1.08 ,1.3945176768565983 ,1.3945176768565983 ,0.0
  9.0 ,1.09 ,1.4050886351270033 ,1.4050886557810707 ,2.065406734530484e-08
 10.0 ,1.1  ,1.4156857080391938 ,1.4156857080391938 ,0.0
 11.0 ,1.11 ,1.4263093614064501 ,1.4263093561184192 ,5.2880309020508776e-09
 12.0 ,1.12 ,1.4369600562621783 ,1.4369600562621783 ,0.0
 13.0 ,1.13 ,1.4476382490542004 ,1.4476382506976988 ,1.6434984484448023e-09
 14.0 ,1.14 ,1.4583443918314205 ,1.4583443918314205 ,0.0
 15.0 ,1.15 ,1.4690789324232265 ,1.4690789321912798 ,2.3194668408166308e-10
 16.0 ,1.16 ,1.4798423146119941 ,1.4798423146119941 ,0.0
 17.0 ,1.17 ,1.4906349782990131 ,1.4906349785527908 ,2.537776655486823e-10
 18.0 ,1.18 ,1.5014573596641598 ,1.5014573596641598 ,0.0
 19.0 ,1.19 ,1.5123098913196058 ,1.512309891427658  ,1.0805223382703844e-10
 20.0 ,1.2  ,1.523193002457846  ,1.523193002457846  ,0.0
 21.0 ,1.21 ,1.5341071189943103 ,1.5341071191269453 ,1.3263501408289358e-10
 22.0 ,1.22 ,1.5450526637048119 ,1.5450526637048119 ,0.0
 23.0 ,1.23 ,1.556030056358062  ,1.556030056470658  ,1.1259593257761935e-10
 24.0 ,1.24 ,1.5670397138434864 ,1.5670397138434864 ,0.0
 25.0 ,1.25 ,1.578082050294547  ,1.5780820503999835 ,1.0543654838102157e-10
 26.0 ,1.26 ,1.5891574772077757 ,1.5891574772077757 ,0.0
 27.0 ,1.27 ,1.6002664035577079 ,1.600266403653376  ,9.566814007655466e-11
 28.0 ,1.28 ,1.6114092359078998 ,1.6114092359078998 ,0.0
 29.0 ,1.29 ,1.6225863785182004 ,1.6225863786055699 ,8.736944501208654e-11
 30.0 ,1.3  ,1.6337982334484402 ,1.6337982334484402 ,0.0
 31.0 ,1.31 ,1.6450452006586926 ,1.645045200738075  ,7.938227852832824e-11
 32.0 ,1.32 ,1.6563276781062564 ,1.6563276781062564 ,0.0
 33.0 ,1.33 ,1.6676460618394962 ,1.6676460619114544 ,7.195821716265982e-11
 34.0 ,1.34 ,1.6790007460886776 ,1.6790007460886776 ,0.0
 35.0 ,1.35 ,1.69039212335392   ,1.6903921234188966 ,6.497646865000206e-11
 36.0 ,1.36 ,1.7018205844903904 ,1.7018205844903904 ,0.0
 37.0 ,1.37 ,1.713286518790851  ,1.713286518849272  ,5.842104577880036e-11
 38.0 ,1.38 ,1.7247903140656684 ,1.7247903140656684 ,0.0
 39.0 ,1.39 ,1.7363323567203952 ,1.7363323567726476 ,5.225242460937807e-11
 40.0 ,1.4  ,1.74791303183101   ,1.74791303183101   ,0.0
 41.0 ,1.41 ,1.7595327232169273 ,1.7595327232633693 ,4.644196138769985e-11
 42.0 ,1.42 ,1.771191813511849  ,1.771191813511849  ,0.0
 43.0 ,1.43 ,1.7828906842325598 ,1.782890684273521  ,4.09612344043353e-11
