j     ,x[j] ,F'[xj]             ,S'[xj]             ,F'[xj] - S'[xj]
  0.0 ,1.0  ,1.0368532363994882 ,1.0381045742070931 ,0.0012513378076048909
  1.0 ,1.01 ,1.0390463908675391 ,1.0388173807096126 ,0.00022901015792653467
  2.0 ,1.02 ,1.0412910983610908 ,1.0409558002171704 ,0.000335298143920415
  3.0 ,1.03 ,1.0435866786712646 ,1.043648042999342  ,6.136432807735126e-05
  4.0 ,1.04 ,1.0459324793805118 ,1.046022319325703  ,8.983994519118355e-05
  5.0 ,1.05 ,1.048327874671404  ,1.0483114332874426 ,1.6441383961396383e-05
  6.0 ,1.06 ,1.050772264198307  ,1.0507481889757504 ,2.4075222556652065e-05
  7.0 ,1.07 ,1.0532650720180787 ,1.0532694785192696 ,4.40650119082342e-06
  8.0 ,1.08 ,1.0558057455761933 ,1.0558121940466436 ,6.448470450282073e-06
  9.0 ,1.09 ,1.0583937547449547 ,1.0583925749888161 ,1.1797561385584743e-06
 10.0 ,1.1  ,1.0610285909106818 ,1.0610268607767317 ,1.7301339501063495e-06
 11.0 ,1.11 ,1.0637097661069708 ,1.0637100831087969 ,3.1700182612226513e-07
 12.0 ,1.12 ,1.0664368121913228 ,1.066437273683419  ,4.6149209609325226e-07
 13.0 ,1.13 ,1.0692092800626214 ,1.0692091959414138 ,8.412120755529884e-08
 14.0 ,1.14 ,1.072026738917099  ,1.072026613323598  ,1.2559350093255262e-07
 15.0 ,1.15 ,1.0748887755405931 ,1.0748887988384797 ,2.3297886508899524e-08
 16.0 ,1.16 ,1.0777949936350366 ,1.0777950254945663 ,3.185952968109973e-08
 17.0 ,1.17 ,1.0807450131772587 ,1.0807450076365281 ,5.540730541042649e-09
 18.0 ,1.18 ,1.0837384698082921 ,1.0837384596090351 ,1.0199256994525285e-08
 19.0 ,1.19 ,1.0867750142515067 ,1.086775016387433  ,2.1359263246978344e-09
 20.0 ,1.2  ,1.0898543117579844 ,1.089854312947068  ,1.189083498331911e-09
 21.0 ,1.21 ,1.0929760415776613 ,1.0929760416105523 ,3.289102323833504e-11
 22.0 ,1.22 ,1.09613989645484   ,1.0961398947004997 ,1.754340228643514e-09
 23.0 ,1.23 ,1.0993455821467775 ,1.0993455827012142 ,5.544367187582111e-10
 24.0 ,1.24 ,1.1025928169641197 ,1.1025928160970004 ,8.671192652798254e-10
 25.0 ,1.25 ,1.1058813313320346 ,1.1058813317084288 ,3.763942491019634e-10
 26.0 ,1.26 ,1.1092108673709646 ,1.1092108663560687 ,1.0148959450617667e-09
 27.0 ,1.27 ,1.1125811784959814 ,1.1125811788851065 ,3.8912517652534007e-10
 28.0 ,1.28 ,1.1159920290337866 ,1.115992028140729  ,8.930576278487479e-10
 29.0 ,1.29 ,1.119443193856462  ,1.1194431942101786 ,3.53716611556365e-10
 30.0 ,1.3  ,1.1229344580311178 ,1.1229344571806974 ,8.504204007664384e-10
 31.0 ,1.31 ,1.126465616484644  ,1.126465616818543  ,3.3389890852220105e-10
 32.0 ,1.32 ,1.1300364736828106 ,1.1300364728899734 ,7.928371292820202e-10
 33.0 ,1.33 ,1.1336468433230078 ,1.1336468436353437 ,3.1233593489332634e-10
 34.0 ,1.34 ,1.1372965480399584 ,1.1372965472950094 ,7.449489913824436e-10
 35.0 ,1.35 ,1.1409854191237672 ,1.1409854194171882 ,2.9342106522278755e-10
 36.0 ,1.36 ,1.1447132962497124 ,1.144713295550098  ,6.996143664395049e-10
 37.0 ,1.37 ,1.1484800272192184 ,1.148480027495018  ,2.7579960537593706e-10
 38.0 ,1.38 ,1.152285467711471  ,1.1522854670532263 ,6.582445699621076e-10
 39.0 ,1.39 ,1.1561294810451777 ,1.1561294813048333 ,2.5965563033025774e-10
 40.0 ,1.4  ,1.1600119379499925 ,1.1600119373299485 ,6.200440161308052e-10
 41.0 ,1.41 ,1.163932716347157  ,1.1639327165919118 ,2.4475488302755366e-10
 42.0 ,1.42 ,1.1678917011389278 ,1.1678917005540619 ,5.848659334617423e-10
 43.0 ,1.43 ,1.1718887840063943 ,1.1718887842373926 ,2.3099833157402827e-10
 44.0 ,1.44 ,1.175923863215289  ,1.1759238626628963 ,5.523927981698762e-10
 45.0 ,1.45 ,1.1799968434294466 ,1.1799968436477597 ,2.1831314533926616e-10
 46.0 ,1.46 ,1.184107635531551  ,1.1841076350091695 ,5.223814714128139e-10
 47.0 ,1.47 ,1.188256156450855  ,1.1882561566574474 ,2.0659252086829838e-10
 48.0 ,1.48 ,1.1924423289975574 ,1.192442328502915  ,4.946423270979494e-10
 49.0 ,1.49 ,1.1966660817035493 ,1.196666081899284  ,1.9573476173206927e-10
 50.0 ,1.5  ,1.2009273486692411 ,1.2009273482002656 ,4.689755250808503e-10
 51.0 ,1.51 ,1.2052260694162182 ,1.2052260696019086 ,1.8569035198368056e-10
 52.0 ,1.52 ,1.209562188745462  ,1.2095621883002612 ,4.452007651423173e-10
 53.0 ,1.53 ,1.2139356566009056 ,1.2139356567772845 ,1.7637891147614937e-10
 54.0 ,1.54 ,1.2183464279380904 ,1.2183464275149396 ,4.23150847694842e-10
 55.0 ,1.55 ,1.2227944625977127 ,1.2227944627654763 ,1.6776358080505815e-10
 56.0 ,1.56 ,1.22727972518385   ,1.227279724781144  ,4.0270609069636976e-10
 57.0 ,1.57 ,1.2318021849466756 ,1.231802185106411  ,1.5973533606938872e-10
 58.0 ,1.58 ,1.2363618156694696 ,1.2363618152857452 ,3.8372438559974853e-10
 59.0 ,1.59 ,1.2409585955597555 ,1.2409585957120688 ,1.5231327310516463e-10
 60.0 ,1.6  ,1.2455925071443879 ,1.2455925067783045 ,3.6608338582766464e-10
 61.0 ,1.61 ,1.2502635371684312 ,1.25026353731382   ,1.4538881210057752e-10
 62.0 ,1.62 ,1.2549716764976795 ,1.2549716761479843 ,3.496951617165678e-10
 63.0 ,1.63 ,1.259716920024665  ,1.2597169201636296 ,1.3896461759088652e-10
 64.0 ,1.64 ,1.2644992665780224 ,1.2644992662435877 ,3.3443470215388515e-10
 65.0 ,1.65 ,1.2693187188350685 ,1.2693187189680573 ,1.3298873113853915e-10
 66.0 ,1.66 ,1.2741752832374775 ,1.2741752829172364 ,3.202411669178673e-10
 67.0 ,1.67 ,1.279068969909923  ,1.2790689700373319 ,1.2740897226137804e-10
 68.0 ,1.68 ,1.2839997925815794 ,1.2839997922745516 ,3.0702773656798854e-10
 69.0 ,1.69 ,1.2889677685103622 ,1.2889677686325793 ,1.2221712530902096e-10
 70.0 ,1.7  ,1.2939729184098123 ,1.2939729181150996 ,2.9471269868963645e-10
 71.0 ,1.71 ,1.2990152663785124 ,1.2990152664958894 ,1.1737699701086513e-10
 72.0 ,1.72 ,1.3040948398319478 ,1.3040948395487257 ,2.83222112429371e-10
 73.0 ,1.73 ,1.3092116694367153 ,1.3092116695495961 ,1.1288081580573817e-10
 74.0 ,1.74 ,1.314365789046991  ,1.314365788774488  ,2.7250313117122005e-10
 75.0 ,1.75 ,1.3195572356431737 ,1.3195572357518481 ,1.0867440281003837e-10
 76.0 ,1.76 ,1.3247860492726276 ,1.3247860490101238 ,2.625037964776311e-10
 77.0 ,1.77 ,1.330052272992435  ,1.3300522730971926 ,1.0475775802376575e-10
 78.0 ,1.78 ,1.3353559528141008 ,1.335355952560932  ,2.5316881924197787e-10
 79.0 ,1.79 ,1.3406971376501247 ,1.3406971377512167 ,1.010920236410584e-10
 80.0 ,1.8  ,1.3460758792623793 ,1.3460758790179224 ,2.4445689916774427e-10
 81.0 ,1.81 ,1.3514922322122298 ,1.3514922323098963 ,9.766654152087995e-11
 82.0 ,1.82 ,1.356946253812328  ,1.3569462535759858 ,2.36342279080759e-10
 83.0 ,1.83 ,1.3624380040800286 ,1.362438004174467  ,9.443845705447984e-11
 84.0 ,1.84 ,1.3679675456923608 ,1.367967545463616  ,2.2874480087864413e-10
 85.0 ,1.85 ,1.3735349439425106 ,1.3735349440339841 ,9.14734954449159e-11
 86.0 ,1.86 ,1.379140266697752  ,1.3791402664761212 ,2.2163071378145105e-10
 87.0 ,1.87 ,1.3847835843587835 ,1.384783584447463  ,8.867950818114423e-11
 88.0 ,1.88 ,1.390464969820417  ,1.3904649696054436 ,2.1497337243658876e-10
 89.0 ,1.89 ,1.3961844984335752 ,1.396184498519677  ,8.610179236256954e-11
 90.0 ,1.9  ,1.40194224796855   ,1.4019422477597754 ,2.0877455320089666e-10
 91.0 ,1.91 ,1.4077382985794837 ,1.4077382986631053 ,8.362155412555694e-11
 92.0 ,1.92 ,1.4135727327700267 ,1.4135727325670315 ,2.0299517622390795e-10
 93.0 ,1.93 ,1.4194456353601341 ,1.4194456354414915 ,8.13573652891364e-11
 94.0 ,1.94 ,1.4253570934539663 ,1.4253570932564215 ,1.9754486935141813e-10
 95.0 ,1.95 ,1.4313071964088506 ,1.4313071964880972 ,7.924660927471905e-11
 96.0 ,1.96 ,1.4372960358052762 ,1.4372960356127944 ,1.9248180826991756e-10
 97.0 ,1.97 ,1.4433237054178811 ,1.4433237054951102 ,7.722911199437021e-11
 98.0 ,1.98 ,1.4493903011874059 ,1.4493903009996418 ,1.8776402654907542e-10
 99.0 ,1.99 ,1.455495921193577  ,1.4554959212689438 ,7.536682389286398e-11
100.0 ,2.0  ,1.461640665628895  ,1.4616406654455705 ,1.8332446671820435e-10
101.0 ,2.01 ,1.4678246367732928 ,1.4678246368469372 ,7.364442389246051e-11
102.0 ,2.02 ,1.474047938969643  ,1.47404793879046   ,1.791831127917476e-10
103.0 ,2.03 ,1.4803106786000817 ,1.4803106786720934 ,7.201172991244675e-11
104.0 ,2.04 ,1.486612964063125  ,1.4866129638877932 ,1.7533174911932292e-10
105.0 ,2.05 ,1.492954905751557  ,1.492954905822047  ,7.049005823489551e-11
106.0 ,2.06 ,1.4993366160310584 ,1.4993366158593433 ,1.71715086594304e-10
107.0 ,2.07 ,1.5057582092195587 ,1.5057582092886521 ,6.909339766991707e-11
108.0 ,2.08 ,1.5122198015672874 ,1.5122198013989436 ,1.6834378335772726e-10
109.0 ,2.09 ,1.5187215112375045 ,1.5187215113052643 ,6.775979777273733e-11
110.0 ,2.1  ,1.5252634582878846 ,1.5252634581226605 ,1.6522405665853057e-10
111.0 ,2.11 ,1.5318457646525436 ,1.5318457647190595 ,6.65159038959473e-11
112.0 ,2.12 ,1.5384685541246794 ,1.5384685539623888 ,1.6229062538286598e-10
113.0 ,2.13 ,1.5451319523398186 ,1.5451319524052078 ,6.53892495705577e-11
114.0 ,2.14 ,1.5518360867596375 ,1.5518360866000762 ,1.595612530991275e-10
115.0 ,2.15 ,1.5585810866563565 ,1.5585810867206573 ,6.430078691721519e-11
116.0 ,2.16 ,1.5653670830976776 ,1.5653670829406146 ,1.5706302924911597e-10
117.0 ,2.17 ,1.5721942089322594 ,1.5721942089955458 ,6.328648716191765e-11
118.0 ,2.18 ,1.5790625987757045 ,1.5790625986210485 ,1.5465606573172863e-10
119.0 ,2.19 ,1.5859723889970543 ,1.5859723890594988 ,6.244449402004193e-11
120.0 ,2.2  ,1.5929237177057693 ,1.5929237175532722 ,1.5249712603804255e-10
121.0 ,2.21 ,1.5999167247391848 ,1.5999167248006636 ,6.147882203322297e-11
122.0 ,2.22 ,1.6069515516504294 ,1.6069515514999668 ,1.504625313231145e-10
123.0 ,2.23 ,1.6140283416967882 ,1.6140283417575847 ,6.079647896228835e-11
124.0 ,2.24 ,1.621147239828506  ,1.6211472396799196 ,1.485864764561029e-10
125.0 ,2.25 ,1.6283083926780122 ,1.6283083927379636 ,5.995137719594368e-11
126.0 ,2.26 ,1.635511948549557  ,1.6355119484027087 ,1.4684831128874976e-10
127.0 ,2.27 ,1.6427580574092533 ,1.6427580574686456 ,5.939226888074245e-11
128.0 ,2.28 ,1.6500468708755018 ,1.6500468707302651 ,1.4523671154620388e-10
129.0 ,2.29 ,1.657378542209803  ,1.6573785422684706 ,5.866751529026715e-11
130.0 ,2.3  ,1.6647532263079339 ,1.6647532261641655 ,1.4376833057383465e-10
131.0 ,2.31 ,1.6721710796914886 ,1.6721710797496774 ,5.818878712204878e-11
132.0 ,2.32 ,1.6796322604997644 ,1.679632260357335  ,1.424294016061367e-10
133.0 ,2.33 ,1.6871369284819948 ,1.6871369285395479 ,5.7553073418148415e-11
134.0 ,2.34 ,1.6946852449899101 ,1.6946852448487257 ,1.4118439750632206e-10
135.0 ,2.35 ,1.7022773729706269 ,1.7022773730278193 ,5.7192472979750164e-11
136.0 ,2.36 ,1.709913476959848  ,1.709913476819779  ,1.4006906745578362e-10
137.0 ,2.37 ,1.7175937230753733 ,1.7175937231319962 ,5.662292856811746e-11
138.0 ,2.38 ,1.7253182790109114 ,1.7253182788718608 ,1.390505488529925e-10
139.0 ,2.39 ,1.733087314030181  ,1.7330873140865395 ,5.6358473443651746e-11
140.0 ,2.4  ,1.740900998961298  ,1.7409009988231992 ,1.3809886567628382e-10
141.0 ,2.41 ,1.7487595061914425 ,1.7487595062473424 ,5.589995133448156e-11
142.0 ,2.42 ,1.7566630096617977 ,1.756663009524472  ,1.3732570636193486e-10
143.0 ,2.43 ,1.7646116848627496 ,1.7646116849183668 ,5.561728855241199e-11
144.0 ,2.44 ,1.77260570882935   ,1.7726057086928053 ,1.3654477548641353e-10
145.0 ,2.45 ,1.7806452601370284 ,1.7806452601923732 ,5.534483982216898e-11
146.0 ,2.46 ,1.7887305188975515 ,1.7887305187616553 ,1.358961831954275e-10
147.0 ,2.47 ,1.7968616667552257 ,1.7968616668103123 ,5.508660194664117e-11
148.0 ,2.48 ,1.8050388868833303 ,1.8050388867480045 ,1.353257506053751e-10
149.0 ,2.49 ,1.8132623639807817 ,1.8132623640356578 ,5.487610366117224e-11
150.0 ,2.5  ,1.8215322842690247 ,1.8215322841341979 ,1.3482681637810856e-10
151.0 ,2.51 ,1.8298488354891405 ,1.8298488355438332 ,5.469269481750416e-11
152.0 ,2.52 ,1.838212206899169  ,1.8382122067647715 ,1.3439760415678847e-10
153.0 ,2.53 ,1.8466225892716412 ,1.8466225893261894 ,5.4548143779697966e-11
154.0 ,2.54 ,1.8550801748913166 ,1.8550801747572643 ,1.3405232479613005e-10
155.0 ,2.55 ,1.8635851575531224 ,1.8635851576075253 ,5.4402926608076996e-11
156.0 ,2.56 ,1.8721377325602866 ,1.8721377324265012 ,1.3378542718101016e-10
157.0 ,2.57 ,1.8807380967226632 ,1.8807380967769638 ,5.4300564045206556e-11
158.0 ,2.58 ,1.8893864483552463 ,1.8893864482216853 ,1.3356094008543096e-10
159.0 ,2.59 ,1.8980829872768699 ,1.8980829873310998 ,5.4229953860840396e-11
160.0 ,2.6  ,1.9068279148090834 ,1.9068279146756408 ,1.3344259031100592e-10
161.0 ,2.61 ,1.915621433775206  ,1.915621433829366  ,5.416000981028901e-11
162.0 ,2.62 ,1.9244637484995537 ,1.9244637483663343 ,1.3321943548305626e-10
163.0 ,2.63 ,1.9333550648068365 ,1.9333550648610767 ,5.424016791266695e-11
164.0 ,2.64 ,1.942295590021719  ,1.9422955898881251 ,1.3359380268695986e-10
165.0 ,2.65 ,1.9512855329685452 ,1.951285533022457  ,5.3911763941982827e-11
166.0 ,2.66 ,1.9603251039712215 ,1.9603251038390503 ,1.3217116290320519e-10
167.0 ,2.67 ,1.969414514853259  ,1.9694145149081939 ,5.493494548147737e-11
168.0 ,2.68 ,1.978553978937965  ,1.9785539788001747 ,1.3779022367543803e-10
169.0 ,2.69 ,1.9877437110487872 ,1.9877437111000489 ,5.126166158220258e-11
170.0 ,2.7  ,1.9969839275098054 ,1.9969839273928724 ,1.1693290780101506e-10
171.0 ,2.71 ,2.0062748461463658 ,2.006274846211887  ,6.552136611048809e-11
172.0 ,2.72 ,2.0156166862858624 ,2.015616686090334  ,1.9552848229409392e-10
173.0 ,2.73 ,2.0250096687586514 ,2.0250096687708306 ,1.2179146580137967e-11
174.0 ,2.74 ,2.034454015899109  ,2.0344540159959945 ,9.688561064535861e-11
175.0 ,2.75 ,2.043949951546817  ,2.0439499517588438 ,2.120268405292336e-10
176.0 ,2.76 ,2.0534977010478874 ,2.0534977000523966 ,9.954908009035535e-10
177.0 ,2.77 ,2.0630974912564164 ,2.0630974907227593 ,5.336571184955119e-10
178.0 ,2.78 ,2.0727495505360563 ,2.0727495536160383 ,3.079982047182739e-09
179.0 ,2.79 ,2.0824541087617274 ,2.082454111011894  ,2.2501667196195285e-09
180.0 ,2.8  ,2.092211397321444  ,2.0922113851899895 ,1.213145450762454e-08
181.0 ,2.81 ,2.102021649118264  ,2.102021640979367  ,8.138897111820143e-09
182.0 ,2.82 ,2.1118850985723596 ,2.111885143209071  ,4.463671121612833e-08
183.0 ,2.83 ,2.1218019816232028 ,2.1218020122579686 ,3.0634765835202415e-08
184.0 ,2.84 ,2.13177253573187   ,2.1317723685049286 ,1.672269416275185e-07
185.0 ,2.85 ,2.141796999883459  ,2.1417968858133354 ,1.1407012356912105e-07
186.0 ,2.86 ,2.1518756145896147 ,2.1518762380465732 ,6.234569585039651e-07
187.0 ,2.87 ,2.162008621891174  ,2.1620090478685094 ,4.2597733562743656e-07
188.0 ,2.88 ,2.1721962653609093 ,2.17219393794301   ,2.3274178992949146e-06
189.0 ,2.89 ,2.1824387901063873 ,2.182437200599482  ,1.5895069052085375e-06
190.0 ,2.9  ,2.1927364427729295 ,2.192745128167331  ,8.685394401464208e-06
191.0 ,2.91 ,2.2030894715466753 ,2.203095403930909  ,5.932384233631183e-06
192.0 ,2.92 ,2.2134981261577567 ,2.2134657111745693 ,3.241498318740099e-05
193.0 ,2.93 ,2.2239626578835603 ,2.223940518188613  ,2.213969494713197e-05
194.0 ,2.94 ,2.234483319552104  ,2.234604293263342  ,0.00012097371123820366
195.0 ,2.95 ,2.2450603655454993 ,2.245142992277797  ,8.262673229753048e-05
196.0 ,2.96 ,2.2556940518035202 ,2.2552425711110162 ,0.0004514806925040027
197.0 ,2.97 ,2.266384635827265  ,2.266076268931319  ,0.00030836689594604394
198.0 ,2.98 ,2.2771323766829115 ,2.278817324907023  ,0.001684948224111693
199.0 ,2.99 ,2.287937535005569  ,2.2890883761970766 ,0.0011508411915075456
200.0 ,3.0  ,2.298800373003217  ,2.2925120599604276 ,0.0062883130427895395
