j,x[j],F''[xj],S''[xj],F''[xj] - S''[xj]
0.0,-1.0,0.0,-9.71445146547012e-17,9.71445146547012e-17
1.0,-0.99,0.0600000000000005,0.06000000000195662,1.956122763768775e-12
2.0,-0.98,0.1200000000000001,0.12000000000391334,3.913230850471905e-12
3.0,-0.97,0.17999999999999972,0.179999999999486,5.137279490696756e-13
4.0,-0.96,0.2400000000000002,0.23999999999505875,4.941463904728494e-12
5.0,-0.95,0.3000000000000007,0.2999999999995139,4.868327962981311e-13
6.0,-0.94,0.3600000000000003,0.36000000000396915,3.96882526843001e-12
7.0,-0.93,0.41999999999999993,0.4200000000009283,9.28368493191556e-13
8.0,-0.92,0.47999999999999954,0.47999999999788623,2.1133095273739855e-12
9.0,-0.91,0.54,0.5399999999992955,7.045475314271243e-13
10.0,-0.9,0.5999999999999996,0.600000000000705,7.05324687544362e-13
11.0,-0.89,0.6600000000000001,0.6600000000001343,1.341149413747189e-13
12.0,-0.88,0.7199999999999998,0.7199999999995635,4.36206626375224e-13
13.0,-0.87,0.7800000000000002,0.7799999999991314,8.688605390716475e-13
14.0,-0.86,0.8399999999999999,0.8399999999986995,1.3004042287434459e-12
15.0,-0.85,0.9000000000000004,0.9000000000013585,1.358135826023954e-12
16.0,-0.84,0.96,0.9600000000040176,4.0176750815135165e-12
17.0,-0.83,1.0200000000000005,1.0200000000008356,8.351097591230427e-13
18.0,-0.82,1.08,1.0799999999976524,2.347677607872356e-12
19.0,-0.81,1.1399999999999997,1.1399999999980914,1.908251334725719e-12
20.0,-0.8,1.1999999999999993,1.1999999999985307,1.468603016974157e-12
21.0,-0.79,1.2599999999999998,1.2600000000003166,3.168576512280197e-13
22.0,-0.78,1.3200000000000003,1.3200000000021028,2.1025403640351215e-12
23.0,-0.77,1.38,1.3799999999998755,1.2434497875801753e-13
24.0,-0.76,1.4399999999999995,1.4399999999976485,2.3510082769462315e-12
25.0,-0.75,1.5,1.5000000000001348,1.34781075189494e-13
26.0,-0.74,1.5600000000000005,1.5600000000026213,2.6207924719301445e-12
27.0,-0.73,1.62,1.6200000000002583,2.582378755278114e-13
28.0,-0.72,1.6799999999999997,1.6799999999978954,2.1043167208745217e-12
29.0,-0.71,1.7400000000000002,1.7400000000002247,2.2448709557920665e-13
30.0,-0.7,1.8000000000000007,1.8000000000025542,2.55351295663786e-12
31.0,-0.69,1.8600000000000003,1.8599999999992902,7.100986465502501e-13
32.0,-0.68,1.92,1.9199999999960262,3.97371024973836e-12
33.0,-0.67,1.9800000000000004,1.9800000000004507,4.503064587879635e-13
34.0,-0.66,2.0400000000000005,2.0400000000048752,4.874767256524137e-12
35.0,-0.65,2.1000000000000005,2.100000000000794,7.935874180020619e-13
36.0,-0.64,2.16,2.1599999999967117,3.2884805989397137e-12
37.0,-0.63,2.2199999999999998,2.2199999999989823,1.0174083797664935e-12
38.0,-0.62,2.2800000000000002,2.2800000000012535,1.2532197501968767e-12
39.0,-0.61,2.34,2.3400000000007752,7.753797603982093e-13
40.0,-0.6,2.4000000000000004,2.400000000000297,2.9665159217984183e-13
41.0,-0.59,2.46,2.4599999999994666,5.333511410299252e-13
42.0,-0.58,2.5199999999999996,2.5199999999986353,1.3642420526593924e-12
43.0,-0.57,2.5799999999999996,2.5799999999994663,5.333511410299252e-13
44.0,-0.56,2.6399999999999997,2.640000000000297,2.9753977059954195e-13
45.0,-0.55,2.6999999999999997,2.7000000000006614,6.616929226765933e-13
46.0,-0.54,2.76,2.7600000000010256,1.0258460747536446e-12
47.0,-0.53,2.82,2.819999999999931,6.88338275267597e-14
48.0,-0.52,2.88,2.879999999998837,1.163069640597314e-12
49.0,-0.51,2.94,2.9399999999998805,1.1945999744966684e-13
50.0,-0.5,3.0,3.000000000000924,9.241496456979803e-13
51.0,-0.49,3.06,3.0599999999998677,1.3233858453531866e-13
52.0,-0.48,3.12,3.1199999999988117,1.1883827255587676e-12
53.0,-0.47,3.18,3.179999999999855,1.4521717162097048e-13
54.0,-0.46,3.24,3.240000000000898,8.979483823168266e-13
55.0,-0.45,3.3000000000000003,3.3000000000006415,6.412648190234904e-13
56.0,-0.44,3.3600000000000003,3.360000000000385,3.8458125573015423e-13
57.0,-0.43,3.4200000000000004,3.419999999999895,1.0524914273446484e-13
58.0,-0.42,3.4799999999999995,3.4799999999994045,5.950795411990839e-13
59.0,-0.41,3.54,3.5399999999994827,5.173639294753229e-13
60.0,-0.4,3.5999999999999996,3.599999999999561,4.3876013933186186e-13
61.0,-0.39,3.66,3.6600000000000983,9.814371537686384e-14
62.0,-0.38,3.7199999999999998,3.7200000000006357,6.359357485052897e-13
63.0,-0.37,3.7800000000000002,3.780000000000017,1.687538997430238e-14
64.0,-0.36,3.84,3.8399999999993986,6.012967901369848e-13
65.0,-0.35,3.9000000000000004,3.90000000000003,2.9753977059954195e-14
66.0,-0.34,3.96,3.9600000000006617,6.616929226765933e-13
67.0,-0.33,4.0200000000000005,4.019999999999948,5.240252676230739e-14
68.0,-0.32,4.08,4.0799999999992345,7.65609797781508e-13
69.0,-0.31,4.140000000000001,4.140000000000151,1.5010215292932116e-13
70.0,-0.3,4.2,4.200000000001067,1.0667022820598504e-12
71.0,-0.29,4.26,4.26000000000014,1.4033219031261979e-13
72.0,-0.28,4.32,4.319999999999213,7.86926079854311e-13
73.0,-0.27,4.38,4.379999999999659,3.410605131648481e-13
74.0,-0.26,4.4399999999999995,4.440000000000104,1.0480505352461478e-13
75.0,-0.25,4.5,4.500000000000026,2.5757174171303632e-14
76.0,-0.24,4.5600000000000005,4.559999999999947,5.3290705182007514e-14
77.0,-0.23,4.62,4.619999999999968,3.197442310920451e-14
78.0,-0.22,4.68,4.679999999999989,1.0658141036401503e-14
79.0,-0.21,4.74,4.7399999999999265,7.37188088351104e-14
80.0,-0.2,4.800000000000001,4.799999999999865,1.3589129821411916e-13
81.0,-0.19,4.86,4.8600000000002455,2.4513724383723456e-13
82.0,-0.18,4.92,4.920000000000626,6.261657858885883e-13
83.0,-0.17,4.98,4.979999999999942,5.861977570020827e-14
84.0,-0.16,5.04,5.039999999999257,7.434053372890048e-13
85.0,-0.15,5.1,5.099999999999788,2.113864638886298e-13
86.0,-0.14,5.16,5.160000000000321,3.206324095117452e-13
87.0,-0.13,5.22,5.220000000000071,7.105427357601002e-14
88.0,-0.12,5.28,5.279999999999822,1.7852386235972517e-13
89.0,-0.11,5.34,5.339999999999971,2.842170943040401e-14
90.0,-0.1,5.4,5.400000000000121,1.2079226507921703e-13
91.0,-0.09,5.46,5.460000000000027,2.6645352591003757e-14
92.0,-0.08,5.5200000000000005,5.519999999999932,6.838973831690964e-14
93.0,-0.07,5.58,5.5800000000000525,5.240252676230739e-14
94.0,-0.06,5.640000000000001,5.640000000000173,1.723066134218243e-13
95.0,-0.05,5.7,5.69999999999999,9.769962616701378e-15
96.0,-0.04,5.76,5.759999999999806,1.936228954946273e-13
97.0,-0.03,5.82,5.819999999999936,6.394884621840902e-14
98.0,-0.02,5.88,5.8800000000000665,6.661338147750939e-14
99.0,-0.01,5.9399999999999995,5.940000000000031,3.108624468950438e-14
100.0,0.0,6.0,5.999999999999995,5.329070518200751e-15
101.0,0.01,5.9399999999999995,5.9400000000000075,7.993605777301127e-15
102.0,0.02,5.88,5.880000000000019,1.9539925233402755e-14
103.0,0.03,5.82,5.820000000000009,8.881784197001252e-15
104.0,0.04,5.76,5.759999999999999,8.881784197001252e-16
105.0,0.05,5.699999999999999,5.700000000000007,7.993605777301127e-15
106.0,0.06,5.64,5.640000000000016,1.5987211554602254e-14
107.0,0.07,5.58,5.580000000000022,2.220446049250313e-14
108.0,0.08,5.52,5.520000000000028,2.842170943040401e-14
109.0,0.09,5.459999999999999,5.459999999999974,2.4868995751603507e-14
110.0,0.1,5.3999999999999995,5.39999999999992,7.904787935331115e-14
111.0,0.11,5.34,5.340000000000094,9.414691248821327e-14
112.0,0.12,5.279999999999999,5.280000000000268,2.682298827494378e-13
113.0,0.13,5.219999999999999,5.219999999999659,3.4017233474514796e-13
114.0,0.14,5.159999999999999,5.159999999999049,9.50350909079134e-13
115.0,0.15,5.1,5.0999999999999615,3.8191672047105385e-14
116.0,0.16,5.040000000000001,5.040000000000877,8.757439218243235e-13
117.0,0.17,4.98,4.9800000000003335,3.3306690738754696e-13
118.0,0.18,4.92,4.919999999999789,2.1049828546892968e-13
119.0,0.19,4.86,4.859999999999961,3.907985046680551e-14
120.0,0.2,4.800000000000001,4.800000000000132,1.3145040611561853e-13
121.0,0.21,4.74,4.7400000000000455,4.529709940470639e-14
122.0,0.22,4.68,4.679999999999959,4.085620730620576e-14
123.0,0.23,4.62,4.619999999999988,1.2434497875801753e-14
124.0,0.24,4.5600000000000005,4.560000000000016,1.509903313490213e-14
125.0,0.25,4.5,4.499999999999939,6.128431095930864e-14
126.0,0.26,4.4399999999999995,4.439999999999862,1.376676550535194e-13
127.0,0.27,4.38,4.37999999999999,9.769962616701378e-15
128.0,0.28,4.32,4.3200000000001175,1.1723955140041653e-13
129.0,0.29,4.26,4.260000000000155,1.5543122344752192e-13
130.0,0.3,4.199999999999999,4.200000000000193,1.936228954946273e-13
131.0,0.31,4.14,4.139999999999971,2.842170943040401e-14
132.0,0.32,4.08,4.07999999999975,2.504663143554353e-13
133.0,0.33,4.02,4.02000000000003,3.019806626980426e-14
