i     ,X[i-1] ,X[i] ,a[i]         ,b[i]         ,c[i]         ,d[i]
  1.0 ,  1.0  ,1.02 ,1.3316135941 ,1.0409558002 ,0.285122601  ,14.25613005
  2.0 ,  1.02 ,1.04 ,1.3524854951 ,1.0460223193 ,0.2215293098 ,-3.17966456
  3.0 ,  1.04 ,1.06 ,1.3734522159 ,1.050748189  ,0.2510576552 ,1.47641727
  4.0 ,  1.06 ,1.08 ,1.3945176769 ,1.055812194  ,0.2553428519 ,0.21425984
  5.0 ,  1.08 ,1.1  ,1.415685708  ,1.0610268608 ,0.2661238211 ,0.53904846
  6.0 ,  1.1  ,1.12 ,1.4369600563 ,1.0664372737 ,0.2749174696 ,0.43968243
  7.0 ,  1.12 ,1.14 ,1.4583443918 ,1.0720266133 ,0.2840164944 ,0.45495124
  8.0 ,  1.14 ,1.16 ,1.4798423146 ,1.0777950255 ,0.2928247227 ,0.44041141
  9.0 ,  1.16 ,1.18 ,1.5014573597 ,1.0837384596 ,0.3015186888 ,0.43469831
 10.0 ,  1.18 ,1.2  ,1.5231930025 ,1.0898543129 ,0.310066645  ,0.42739781
 11.0 ,  1.2  ,1.22 ,1.5450526637 ,1.0961398947 ,0.3184915303 ,0.42124426
 12.0 ,  1.22 ,1.24 ,1.5670397138 ,1.1025928161 ,0.3268006093 ,0.41545395
 13.0 ,  1.24 ,1.26 ,1.5891574772 ,1.1092108664 ,0.3350044166 ,0.41019036
 14.0 ,  1.26 ,1.28 ,1.6114092359 ,1.1159920281 ,0.3431117619 ,0.40536727
 15.0 ,  1.28 ,1.3  ,1.6337982334 ,1.1229344572 ,0.3511311421 ,0.40096901
 16.0 ,  1.3  ,1.32 ,1.6563276781 ,1.1300364729 ,0.3590704288 ,0.39696434
 17.0 ,  1.32 ,1.34 ,1.6790007461 ,1.1372965473 ,0.3669370117 ,0.39332914
 18.0 ,  1.34 ,1.36 ,1.7018205845 ,1.1447132956 ,0.3747378138 ,0.39004011
 19.0 ,  1.36 ,1.38 ,1.7247903141 ,1.1522854671 ,0.3824793365 ,0.38707613
 20.0 ,  1.38 ,1.4  ,1.7479130318 ,1.1600119373 ,0.3901676912 ,0.38441774
 21.0 ,  1.4  ,1.42 ,1.7711918135 ,1.1678917006 ,0.3978086312 ,0.382047
 22.0 ,  1.42 ,1.44 ,1.7946297158 ,1.1759238627 ,0.4054075797 ,0.37994742
 23.0 ,  1.44 ,1.46 ,1.8182297788 ,1.184107635  ,0.412969655  ,0.37810377
 24.0 ,  1.46 ,1.48 ,1.8419950274 ,1.1924423285 ,0.4204996944 ,0.37650197
 25.0 ,  1.48 ,1.5  ,1.8659284741 ,1.2009273482 ,0.4280022753 ,0.37512905
 26.0 ,  1.5  ,1.52 ,1.8900331201 ,1.2095621883 ,0.4354817347 ,0.37397297
 27.0 ,  1.52 ,1.54 ,1.9143119576 ,1.2183464275 ,0.4429421868 ,0.37302261
 28.0 ,  1.54 ,1.56 ,1.9387679709 ,1.2272797248 ,0.4503875398 ,0.37226765
 29.0 ,  1.56 ,1.58 ,1.9634041385 ,1.2363618153 ,0.4578215106 ,0.37169854
 30.0 ,  1.58 ,1.6  ,1.9882234342 ,1.2455925068 ,0.4652476386 ,0.3713064
 31.0 ,  1.6  ,1.62 ,2.0132288287 ,1.2549716761 ,0.4726692983 ,0.37108299
 32.0 ,  1.62 ,1.64 ,2.0384232907 ,1.2644992662 ,0.4800897112 ,0.37102064
 33.0 ,  1.64 ,1.66 ,2.0638097888 ,1.2741752829 ,0.4875119562 ,0.37111225
 34.0 ,  1.66 ,1.68 ,2.089391292  ,1.2839997923 ,0.4949389796 ,0.37135117
 35.0 ,  1.68 ,1.7  ,2.1151707713 ,1.2939729181 ,0.5023736045 ,0.37173124
 36.0 ,  1.7  ,1.72 ,2.1411512007 ,1.3040948395 ,0.5098185389 ,0.37224672
 37.0 ,  1.72 ,1.74 ,2.1673355584 ,1.3143657888 ,0.5172763837 ,0.37289224
 38.0 ,  1.74 ,1.76 ,2.1937268277 ,1.324786049  ,0.5247496399 ,0.37366281
 39.0 ,  1.76 ,1.78 ,2.220327998  ,1.3353559526 ,0.5322407152 ,0.37455377
 40.0 ,  1.78 ,1.8  ,2.2471420659 ,1.346075879  ,0.5397519305 ,0.37556076
 41.0 ,  1.8  ,1.82 ,2.2741720361 ,1.3569462536 ,0.5472855253 ,0.37667974
 42.0 ,  1.82 ,1.84 ,2.3014209222 ,1.3679675455 ,0.5548436634 ,0.37790691
 43.0 ,  1.84 ,1.86 ,2.3288917475 ,1.3791402665 ,0.5624284378 ,0.37923872
 44.0 ,  1.86 ,1.88 ,2.356587546  ,1.3904649696 ,0.5700418751 ,0.38067187
 45.0 ,  1.88 ,1.9  ,2.3845113634 ,1.4019422478 ,0.5776859403 ,0.38220326
 46.0 ,  1.9  ,1.92 ,2.4126662573 ,1.4135727326 ,0.5853625404 ,0.38383001
 47.0 ,  1.92 ,1.94 ,2.4410552986 ,1.4253570933 ,0.5930735285 ,0.3855494
 48.0 ,  1.94 ,1.96 ,2.4696815716 ,1.4372960356 ,0.6008207071 ,0.38735893
