n  ,h          ,x            ,v[1]_1                  ,v[2]_1                  ,v[1]_2                  ,v[2]_2                  ,ОЛП
0  ,0.0        ,0.0          ,24.0                    ,12.0                    ,24.0                    ,12.0                    ,0.0
1  ,0.02       ,0.02         ,24.237600026666666      ,11.760005324444444      ,24.23760002663327       ,11.760005324422275      ,4.275619406567227e-11
2  ,0.04       ,0.06         ,24.698402152497145      ,11.28014327505252       ,24.698402151412502      ,11.280143274356565      ,1.3746371596913221e-09
3  ,0.08       ,0.14         ,25.56246345933034       ,10.321807623976989      ,25.562463423627364      ,10.321807602572726      ,4.440261719345614e-08
4  ,0.16       ,0.3          ,27.06132346044364       ,8.417533440276713       ,27.061322258123788      ,8.417532810919123       ,1.4475511642246598e-06
5  ,0.32       ,0.62         ,29.157190630057933      ,4.7100742613841495      ,29.15714881659935       ,4.7100576786877975      ,4.798045394061708e-05
6  ,0.32       ,0.94         ,30.09971451562941       ,1.2256458102118701      ,30.099668384393024      ,1.225635374592675       ,5.0449985723371685e-05
7  ,0.32       ,1.26         ,29.975152460770097      ,-1.9458261148744875     ,29.975103937877794      ,-1.9458306884254515     ,5.1987154060693465e-05
8  ,0.32       ,1.58         ,28.895484478593257      ,-4.733617030562968      ,28.895435372509723      ,-4.733616187468947      ,5.238754183421692e-05
9  ,0.32       ,1.9          ,26.99219572421764       ,-7.086544388803619      ,26.992147679270015      ,-7.086538704292918      ,5.1605402279199025e-05
10 ,0.32       ,2.22         ,24.410058306245052      ,-8.972642850484636      ,24.41001276614406       ,-8.972632997887569      ,4.969996483905342e-05
11 ,0.64       ,2.86         ,17.820345260971305      ,-11.307043425689395     ,17.81902664763406       ,-11.306605465858032     ,0.0014820718027938372
12 ,0.64       ,3.5          ,10.33007600984486       ,-11.818916339389995     ,10.329087040835525      ,-11.81834056184784      ,0.0012206598338517873
13 ,0.64       ,4.14         ,3.022554592863581       ,-10.796009548239104     ,3.0219521707343056      ,-10.795392397662745     ,0.0009199264160657933
14 ,0.64       ,4.78         ,-3.249142478423546      ,-8.657357201697595      ,-3.249359359071485      ,-8.65678163199888       ,0.0006560803797074277
15 ,0.64       ,5.42         ,-7.921642199240914      ,-5.877139988480554      ,-7.921521210073303      ,-5.8766679709533935     ,0.0005197621879462613
16 ,0.64       ,6.06         ,-10.734119447029652     ,-2.9164632230861622     ,-10.733740171031725     ,-2.9161322433998573     ,0.000536945459053813
17 ,0.64       ,6.7          ,-11.701902829678195     ,-0.1698241074517255     ,-11.701360960899965     ,-0.16964731131340338    ,0.0006079800205802705
18 ,0.64       ,7.34         ,-11.061584576544096     ,2.070045993997311       ,-11.060977195646561     ,2.0700767248327185      ,0.0006487016789703002
19 ,0.64       ,7.98         ,-9.199777697614065      ,3.6282195106886155      ,-9.199191206274474      ,3.6281284886093905      ,0.0006330800203677258
20 ,0.64       ,8.62         ,-6.577319430733228      ,4.44621295336394        ,-6.576821100826746      ,4.446034620335557       ,0.0005645633646746305
21 ,0.64       ,9.26         ,-3.65900781413526       ,4.566735495057002       ,-3.6586412847094936     ,4.566508291409317       ,0.0004599860928978378
22 ,0.64       ,9.9          ,-0.8563488419553047     ,4.109067013066947       ,-0.8561333532472613     ,4.1088279376294565      ,0.0003433149944294371
23 ,0.64       ,10.54        ,1.512225488099638       ,3.2398575149111304      ,1.512292748092334       ,3.2396379049134274      ,0.0002449909673926496
24 ,0.64       ,11.18        ,3.2421878343885098      ,2.143776218340415       ,3.2421271536608725      ,2.1435990277760912      ,0.00019977914003822074
25 ,0.64       ,11.82        ,4.245902114494187       ,0.9976065122614057      ,4.24574543545824        ,0.9974851317723986      ,0.00021140876797468401
26 ,0.64       ,12.46        ,4.54082947154567        ,-0.04972633998718767    ,4.540614270817552       ,-0.04978787427547293    ,0.00023874712271797747
27 ,0.64       ,13.1         ,4.2272252475059275      ,-0.889906495673735      ,4.226988918260468       ,-0.8899121964550369     ,0.00025215785936348595
28 ,0.64       ,13.74        ,3.4600556457843923      ,-1.460594590293364      ,3.4598309689516773      ,-1.4605544858369606     ,0.00024344326215595578
29 ,0.64       ,14.38        ,2.4196573119749774      ,-1.7441761585022415     ,2.4194693576374022      ,-1.7441039186902287     ,0.00021478287128015821
30 ,0.64       ,15.02        ,1.2849472987494766      ,-1.7613144480409513     ,1.2848118597212808      ,-1.7612250236464921     ,0.0001731172484743487
31 ,0.64       ,15.66        ,0.21194979348266751     ,-1.5610888884557304     ,0.21187324724745904     ,-1.5609964480456169     ,0.00012802024527244185
