n    ,h              ,x              ,v1[1]              ,v1[2]              ,v2[1]              ,v2[2]              ,S                      ,ОЛП                    ,u[1]               ,u[2]               ,E
0    ,0.0            ,0.0            ,7.0                ,13.0               ,7.0                ,13.0               ,0.0                    ,0.0                    ,7.0                ,13.0               ,0.0
1    ,2.44140625e-06 ,2.44141e-06    ,7.007306136765373  ,12.992693374953392 ,7.007310585358918  ,12.99268892635984  ,4.448593552197622e-06  ,8.897187104395243e-06  ,7.00731504118418   ,12.992684470534575 ,8.904418816513271e-06
2    ,2.44140625e-06 ,4.88281e-06    ,7.014594479130104  ,12.985404544307437 ,7.014598916889276  ,12.985400106548257 ,4.43775918057554e-06   ,8.87551836115108e-06   ,7.014612244568573  ,12.985386778868952 ,1.7765438485639606e-05
3    ,2.44140625e-06 ,7.32422e-06    ,7.021865070431749  ,12.978133464724582 ,7.021869497382935  ,12.978129037773387 ,4.426951194957951e-06  ,8.853902389915902e-06  ,7.021891653649373  ,12.978106881506928 ,2.6583217653808333e-05
4    ,2.44140625e-06 ,9.76563e-06    ,7.029117953902319  ,12.970880092972813 ,7.029122370071841  ,12.970875676803283 ,4.416169529619651e-06  ,8.832339059239303e-06  ,7.029153311816723  ,12.970844735058373 ,3.53579144398708e-05
5    ,2.44140625e-06 ,1.220703e-05   ,7.036353172668533  ,12.963644385925411 ,7.036357578082649  ,12.963639980511287 ,4.405414124164508e-06  ,8.810828248329017e-06  ,7.036397262354948  ,12.96360029623895  ,4.4089686461745714e-05
6    ,2.44140625e-06 ,1.464844e-05   ,7.043570769752076  ,12.956426300560693 ,7.043575164436982  ,12.956421905875779 ,4.394684914643676e-06  ,8.789369829287352e-06  ,7.043623548442838  ,12.956373521869875 ,5.2778690818655605e-05
7    ,2.44140625e-06 ,1.708984e-05   ,7.050770788069857  ,12.949225793961748 ,7.050775172051682  ,12.949221409979916 ,4.383981831779238e-06  ,8.767963663558476e-06  ,7.0508322131538925 ,12.94916436887765  ,6.142508409823222e-05
8    ,2.44140625e-06 ,1.953125e-05   ,7.057953270434264  ,12.942042823316191 ,7.0579576437390745 ,12.942038450011372 ,4.3733048187277745e-06 ,8.746609637455549e-06  ,7.058023299456574  ,12.941972794293806 ,7.002902238539832e-05
9    ,2.44140625e-06 ,2.197266e-05   ,7.065118259553413  ,12.934877345915902 ,7.065122622207214  ,12.934872983262093 ,4.362653809764083e-06  ,8.725307619528166e-06  ,7.065196850214576  ,12.934798755254654 ,7.859066124815683e-05
10   ,2.44140625e-06 ,2.441406e-05   ,7.07226579803141   ,12.927729319156779 ,7.072270150060141  ,12.92772496712804  ,4.352028739162961e-06  ,8.704057478325922e-06  ,7.072352908187072  ,12.927642209001025 ,8.711015575357806e-05
11   ,2.44140625e-06 ,2.685547e-05   ,7.079395928368598  ,12.920598700538475 ,7.079400269798135  ,12.920594359108929 ,4.341429546528275e-06  ,8.68285909305655e-06   ,7.079491516028963  ,12.92050311287801  ,9.55876604660233e-05
12   ,2.44140625e-06 ,2.929687e-05   ,7.086508692961813  ,12.913485447664158 ,7.086513023817971  ,12.91348111680799  ,4.330856167911179e-06  ,8.661712335822358e-06  ,7.086612716291144  ,12.913381424334714 ,0.00010402332944359216
