n,h,x,v_1,v_2,ОЛП
0,0.0,0.0,70.0,70.0,0.0
1,0.01,0.01,69.80229670322275,69.80229670322262,-1.3642420526593923e-13
2,0.02,0.03,69.40866499901472,69.40866499901058,-4.411049303598702e-12
3,0.04,0.07,68.62845166172404,68.628451661593,-1.3977417741746952e-10
4,0.08,0.15,67.09583380539233,67.09583380125737,-4.410624872737875e-09
5,0.16,0.31,64.13877115665751,64.13877102794758,-1.3729058991884813e-07
6,0.32,0.63,58.633913588211946,58.63390969097547,-4.157052239861514e-06
7,0.64,1.27,49.0898592294077,49.089747558951615,-0.00011911515315811508
8,0.64,1.91,41.21306550820611,41.212883837705874,-0.0001937818669148328
9,0.64,2.55,34.71227695505559,34.71205314929,-0.00023872614996586587
10,0.64,3.19,29.347117816887128,29.34687214133853,-0.0002620539185045345
11,0.64,3.83,24.919203827295455,24.91895075286478,-0.0002699460593854989
12,0.64,4.47,21.264806670696885,21.264556279790067,-0.0002670836339386066
13,0.64,5.11,18.248799898761547,18.24855897694676,-0.00025698326910514877
14,0.64,5.75,15.75966244090887,15.759435321091193,-0.0002422611388567475
15,0.64,6.39,13.705354956675503,13.705144168941022,-0.00022484025011332658
16,0.64,7.03,12.009916552314385,12.009723321577807,-0.00020611278568291407
17,0.64,7.67,10.61065602045915,10.610480645258438,-0.00018706688075932713
18,0.64,8.31,9.455833745010228,9.455675883786759,-0.00016838530503378025
19,0.64,8.95,8.50274855643221,8.502607442059727,-0.0001505219973144752
20,0.64,9.59,7.716158796260082,7.716033395154684,-0.0001337611790916071
21,0.64,10.23,7.066979207465122,7.066868336091928,-0.00011826279807394257
22,0.64,10.87,6.531205466378318,6.531107875184138,-0.00010409727379207349
23,0.64,11.51,6.089026589234332,6.088941021831702,-9.127189613877817e-05
24,0.64,12.15,5.724092393325991,5.724017627013948,-7.97507328456959e-05
25,0.64,12.79,5.422908926120476,5.422843798456588,-6.94695081468429e-05
26,0.64,13.43,5.174339507482824,5.1742829325433535,-6.034660210142799e-05
27,0.64,14.07,4.969192935344785,4.969143912464887,-5.229107189184863e-05
28,0.64,14.71,4.799883628147442,4.799841245272524,-4.520839991262922e-05
29,1.28,15.99,4.544878156399296,4.544799790123651,-8.359069402104069e-05
30,1.28,17.27,4.3711692487177265,4.371082152956048,-9.290214579020055e-05
31,1.28,18.55,4.252839299163837,4.252757006773519,-8.777854967168726e-05
32,1.28,19.83,4.172233317879944,4.172161619641879,-7.64781206025115e-05
33,1.28,21.11,4.117324782524064,4.117265288333919,-6.346046948806361e-05
34,1.28,22.39,4.0799212647341205,4.079873480957263,-5.096936198090892e-05
35,1.28,23.67,4.054442108643085,4.054404615814899,-3.999235006422926e-05
36,2.56,26.23,4.02536512515844,4.025245322779716,-0.0001277892039723838
37,2.56,28.79,4.011817866543732,4.011714563419038,-0.00011018999967310113
38,2.56,31.35,4.0055060627051144,4.005435897861006,-7.4842500382033e-05
39,2.56,33.91,4.00256532990963,4.002522414579042,-4.577635262705826e-05
40,5.12,39.03,4.000696734517016,4.000547546000808,-0.00015913441728798716
41,0.64,39.67,4.000575021250158,4.000451893541813,-0.00013133622223430544
42,0.32,39.99,4.0005223861526975,4.000410529023646,-0.0001193142709884872
43,0.01,40.0,4.000520821342628,4.00040929928211,-0.00011895686455337303
