n    ,h    ,x_1  ,v_1                    ,v_2                    ,S                       ,olp
0    ,0.0  ,0.0  ,2.0                    ,2.0                    ,0.0                     ,0.0
1    ,0.01 ,0.01 ,1.97022387921875       ,1.9702238792069093     ,-7.89383373482148e-13   ,-1.2630133975714367e-11
2    ,0.01 ,0.02 ,1.94089106712189       ,1.940891067098561      ,-1.555259624789566e-12  ,-2.4884153996633054e-11
3    ,0.01 ,0.03 ,1.9119949637029547     ,1.9119949636684825     ,-2.298146858000412e-12  ,-3.6770349728006595e-11
4    ,0.01 ,0.04 ,1.8835290672167744     ,1.883529067171496      ,-3.0185631771928455e-12 ,-4.829701083508553e-11
5    ,0.01 ,0.05 ,1.8554869727165535     ,1.855486972660798      ,-3.717026686445024e-12  ,-5.947242698312039e-11
6    ,0.01 ,0.06 ,1.8278623706127315     ,1.827862370546821      ,-4.394025883887783e-12  ,-7.030441414220453e-11
7    ,0.01 ,0.07 ,1.8006490452532982     ,1.8006490451775476     ,-5.050034464678295e-12  ,-8.080055143485272e-11
8    ,0.01 ,0.08 ,1.7738408735252458     ,1.7738408734399629     ,-5.685526123973735e-12  ,-9.096841798357976e-11
9    ,0.01 ,0.09 ,1.747431823476843      ,1.747431823382328      ,-6.300989359904937e-12  ,-1.00815829758479e-10
10   ,0.01 ,0.1  ,1.7214159529604196     ,1.7214159528569668     ,-6.896853458708089e-12  ,-1.1034965533932943e-10
11   ,0.01 ,0.11 ,1.6957874082953597     ,1.6957874081832556     ,-7.473606918514027e-12  ,-1.1957771069622443e-10
12   ,0.01 ,0.12 ,1.6705404229509968     ,1.6705404228305223     ,-8.031634616637955e-12  ,-1.2850615386620728e-10
13   ,0.01 ,0.13 ,1.645669316249122      ,1.6456693161205511     ,-8.571395445263381e-12  ,-1.371423271242141e-10
14   ,0.01 ,0.14 ,1.6211684920858065     ,1.6211684919494072     ,-9.093289084679175e-12  ,-1.454926253548668e-10
15   ,0.01 ,0.15 ,1.5970324376722544     ,1.5970324375282883     ,-9.597744821121524e-12  ,-1.5356391713794438e-10
16   ,0.01 ,0.16 ,1.5732557222944028     ,1.5732557221431254     ,-1.008516233487929e-11  ,-1.6136259735806864e-10
17   ,0.01 ,0.17 ,1.5498329960909873     ,1.549832995932648      ,-1.0555956109215004e-11 ,-1.6889529774744006e-10
18   ,0.01 ,0.18 ,1.5267589888498014     ,1.526758988684644      ,-1.1010496218470205e-11 ,-1.7616793949552327e-10
19   ,0.01 ,0.19 ,1.504028508821876      ,1.5040285086501386     ,-1.1449167539960096e-11 ,-1.8318668063936154e-10
20   ,0.01 ,0.2  ,1.4816364415533143     ,1.4816364413752294     ,-1.1872325345052558e-11 ,-1.8995720552084093e-10
21   ,0.01 ,0.21 ,1.4595777487345178     ,1.4595777485503127     ,-1.2280339708089134e-11 ,-1.9648543532942615e-10
22   ,0.01 ,0.22 ,1.4378474670665458     ,1.437847466876442      ,-1.2673580703411365e-11 ,-2.0277729125458183e-10
23   ,0.01 ,0.23 ,1.4164407071443519     ,1.416440706948566      ,-1.3052388799413468e-11 ,-2.088382207906155e-10
24   ,0.01 ,0.24 ,1.3953526523566473     ,1.3953526521553905     ,-1.3417119267463326e-11 ,-2.146739082794132e-10
25   ,0.01 ,0.25 ,1.3745785578021428     ,1.3745785575956213     ,-1.3768097772981491e-11 ,-2.2028956436770386e-10
26   ,0.01 ,0.26 ,1.3541137492219262     ,1.3541137490103416     ,-1.4105635178414862e-11 ,-2.256901628546378e-10
27   ,0.01 ,0.27 ,1.3339536219477346     ,1.3339536217312835     ,-1.4430071952157657e-11 ,-2.308811512345225e-10
28   ,0.01 ,0.28 ,1.3140936398658838     ,1.3140936396447578     ,-1.474173375963043e-11  ,-2.358677401540869e-10
29   ,0.01 ,0.29 ,1.2945293343966242     ,1.2945293341710107     ,-1.5040901857332755e-11 ,-2.406544297173241e-10
30   ,0.01 ,0.3  ,1.2752563034886917     ,1.2752563032587731     ,-1.532790191068519e-11  ,-2.4524643057096305e-10
31   ,0.01 ,0.31 ,1.2562702106288268     ,1.2562702103947816     ,-1.5603015176187304e-11 ,-2.4964824281899687e-10
32   ,0.01 ,0.32 ,1.2375667838660416     ,1.2375667836280435     ,-1.5866537713312332e-11 ,-2.538646034129973e-10
33   ,0.01 ,0.33 ,1.2191418148504123     ,1.2191418146086308     ,-1.6118765581533503e-11 ,-2.5790024930453605e-10
34   ,0.01 ,0.34 ,1.2009911578861832     ,1.2009911576407837     ,-1.6359965234376736e-11 ,-2.617594437500278e-10
35   ,0.01 ,0.35 ,1.183110728998967      ,1.1831107287501108     ,-1.6590417928341596e-11 ,-2.6544668685346553e-10
36   ,0.01 ,0.36 ,1.165496505016834      ,1.1654965047646786     ,-1.6810360511006668e-11 ,-2.689657681761067e-10
37   ,0.01 ,0.37 ,1.148144522665081      ,1.1481445224097795     ,-1.7020103844818854e-11 ,-2.7232166151710166e-10
38   ,0.01 ,0.38 ,1.131050877674478      ,1.13105087741618       ,-1.7219869974383072e-11 ,-2.7551791959012915e-10
39   ,0.01 ,0.39 ,1.114211723902791      ,1.1142117236416424     ,-1.7409910550251576e-11 ,-2.785585688040252e-10
40   ,0.01 ,0.4  ,1.097623272469384      ,1.0976232722055268     ,-1.759047722297661e-11  ,-2.8144763556762577e-10
41   ,0.01 ,0.41 ,1.0812817909027044     ,1.0812817906362773     ,-1.7761806840136766e-11 ,-2.8418890944218825e-10
42   ,0.01 ,0.42 ,1.0651836023004617     ,1.0651836020315997     ,-1.7924136249310625e-11 ,-2.8678617998897e-10
43   ,0.01 ,0.43 ,1.049325084502309      ,1.0493250842311437     ,-1.8077687495103117e-11 ,-2.8924299992164987e-10
44   ,0.01 ,0.44 ,1.033702669274841      ,1.0337026690015005     ,-1.8222697425092824e-11 ,-2.915631588014852e-10
45   ,0.01 ,0.45 ,1.0183128415087268     ,1.018312841233336      ,-1.835938808388467e-11  ,-2.9375020934215473e-10
46   ,0.01 ,0.46 ,1.003152138427796      ,1.0031521381504764     ,-1.8487966713109925e-11 ,-2.958074674097588e-10
47   ,0.01 ,0.47 ,0.9882171488098983     ,0.9882171485307686     ,-1.860864795588668e-11  ,-2.977383672941869e-10
48   ,0.01 ,0.48 ,0.9735045122193653     ,0.9735045119385408     ,-1.872163165235937e-11  ,-2.995461064377499e-10
49   ,0.01 ,0.49 ,0.9590109182508975     ,0.9590109179684905     ,-1.8827132445646082e-11 ,-3.012341191303373e-10
