n  ,h    ,x_1  ,v_1                 ,v_2                 ,ОЛП
0  ,0.0  ,0.0  ,-2.0                ,-2.0                ,0.0
1  ,0.01 ,0.01 ,-1.76238408         ,-1.7623840797008317 ,3.1911279544753293e-10
2  ,0.02 ,0.03 ,-1.3011744132881151 ,-1.3011744036428388 ,1.0288294779077962e-08
3  ,0.04 ,0.07 ,-0.432299138801986  ,-0.4322988437771771 ,3.1469312951060146e-07
4  ,0.08 ,0.15 ,1.1101722059932717  ,1.1101808166303306  ,9.18467952952066e-06
5  ,0.16 ,0.31 ,3.5444242048525623  ,3.5446534663805735  ,0.0002445456298787008
6  ,0.16 ,0.47 ,5.31211854576202    ,5.312446967755216   ,0.0003503167927419781
7  ,0.16 ,0.63 ,6.595774997250035   ,6.596131080543678   ,0.00037982217988599134
8  ,0.16 ,0.79 ,7.527934956872376   ,7.528278924816288   ,0.0003668991401724497
9  ,0.16 ,0.95 ,8.204846749989507   ,8.205158536338955   ,0.0003325721060775777
10 ,0.16 ,1.11 ,8.696403559452433   ,8.696674996211906   ,0.00028953254343756877
11 ,0.16 ,1.27 ,9.053360107390077   ,9.053589913153452   ,0.00024512614760017944
12 ,0.16 ,1.43 ,9.312573233243784   ,9.3127638540797     ,0.00020332889164365042
13 ,0.16 ,1.59 ,9.500807473526125   ,9.500963137625595   ,0.00016604170610132012
14 ,0.16 ,1.75 ,9.637498580884118   ,9.637624139115973   ,0.00013392878064450998
15 ,0.16 ,1.91 ,9.736760324139379   ,9.736860591967814   ,0.00010695235033040263
16 ,0.16 ,2.07 ,9.808841777457832   ,9.808921190582037   ,8.470733248486795e-05
17 ,0.16 ,2.23 ,9.861185568148061   ,9.86124802939391    ,6.662532890497156e-05
18 ,0.16 ,2.39 ,9.899196350362978   ,9.899245188905477   ,5.209444533231059e-05
19 ,0.16 ,2.55 ,9.926798851930743   ,9.926836844807683   ,4.052573540320736e-05
20 ,0.32 ,2.87 ,9.961342485416809   ,9.96141880289393    ,8.140530892812119e-05
21 ,0.32 ,3.19 ,9.97958497273382    ,9.979654940164558   ,7.463192612059781e-05
22 ,0.32 ,3.51 ,9.989218827367134   ,9.989271419998458   ,5.609880674531572e-05
23 ,0.32 ,3.83 ,9.994306464457571   ,9.994342487572881   ,3.842465633094131e-05
24 ,0.64 ,4.47 ,9.998283269373175   ,9.998422179521706   ,0.0001481708250992142
25 ,0.64 ,5.11 ,9.999482366620335   ,9.999559962528798   ,8.276896902733218e-05
26 ,0.64 ,5.75 ,9.999843921747793   ,9.999877278195635   ,3.5580211031553216e-05
27 ,1.28 ,7.03 ,9.999889158369621   ,9.99998884262654    ,0.00010632987404619598
28 ,1.28 ,8.31 ,9.999921283927444   ,9.999998985616426   ,8.288180158046998e-05
