n   ,h                      ,x              ,v[1]_1                 ,v[2]_1                ,v[1]_2                 ,v[2]_2                ,S                      ,ОЛП
0   ,0.0                    ,0.0            ,0.2                    ,0.3                   ,0.2                    ,0.3                   ,0.0                    ,0.0
1   ,0.32                   ,0.32           ,0.26952456287605886    ,0.13109612186203193   ,0.26952252049615144    ,0.13100064436777686   ,6.366622416918483e-06  ,0.00010186595867069573
2   ,0.32                   ,0.64           ,0.2825821218498872     ,-0.049975499878420176 ,0.2825532312031729     ,-0.050161512775933295 ,1.2549540497793589e-05 ,0.00020079264796469743
3   ,0.32                   ,0.96           ,0.2379751019513705     ,-0.22651868148074653  ,0.2378976754418        ,-0.2267845832750205   ,1.8463011501363988e-05 ,0.0002954081840218238
4   ,0.32                   ,1.28           ,0.13992658816061215    ,-0.3806673644834553   ,0.13978027820084662    ,-0.38099581420912665  ,2.3970892220930993e-05 ,0.0003835342755348959
5   ,0.32                   ,1.6            ,-0.0008709312756739196 ,-0.4892153160851069   ,-0.0011057269178434276 ,-0.4895753648745572   ,2.8656131736036838e-05 ,0.0004584981077765894
6   ,0.32                   ,1.92           ,-0.16501874711764694   ,-0.5208677591724477   ,-0.1653600758522214    ,-0.5211964266171527   ,3.158956186641065e-05  ,0.0005054329898625704
7   ,0.32                   ,2.24           ,-0.3222410634367525    ,-0.44102079993903465  ,-0.322699727145405     ,-0.4411967387752233   ,3.275002098145431e-05  ,0.000524000335703269
8   ,0.32                   ,2.56           ,-0.4335294109528164    ,-0.23555580477372898  ,-0.4340768462764764    ,-0.23541596054744734  ,3.766766023557245e-05  ,0.0006026825637691592
9   ,0.32                   ,2.88           ,-0.4639156402386174    ,0.05142042097559599   ,-0.4644149508874712    ,0.051928591226890475  ,4.7494941408275116e-05 ,0.0007599190625324019
10  ,0.32                   ,3.2            ,-0.4026720778172594    ,0.31964375262613476   ,-0.4029280615970164    ,0.3203235495084822    ,4.842641596612607e-05  ,0.0007748226554580172
11  ,0.32                   ,3.52           ,-0.27095078244722065   ,0.48297746132531816   ,-0.2709093201452238    ,0.4835522666401614    ,3.841991800898712e-05  ,0.0006147186881437939
12  ,0.32                   ,3.84           ,-0.10727560026587499   ,0.5208476976239449    ,-0.10703000368706746   ,0.5211556511617478    ,2.6259648890542356e-05 ,0.0004201543822486777
13  ,0.32                   ,4.16           ,0.051600320170618025   ,0.4586352072595593    ,0.05192533837081727    ,0.4586468373879856    ,2.168174760770679e-05  ,0.00034690796172330866
14  ,0.32                   ,4.48           ,0.17928495849806161    ,0.3312618946585525    ,0.17958555061656728    ,0.3310151404840336    ,2.5926669610888275e-05 ,0.0004148267137742124
15  ,0.32                   ,4.8            ,0.25969042568842865    ,0.16715713836688695   ,0.25989030121115103    ,0.1667034041167196    ,3.305382777352829e-05  ,0.0005288612443764526
16  ,0.32                   ,5.12           ,0.2845612154813257     ,-0.012771178011059425 ,0.28460645312612814    ,-0.013383313103695421 ,4.092029195854102e-05  ,0.0006547246713366563
17  ,0.32                   ,5.44           ,0.25159763436277527    ,-0.19154236854613893  ,0.2514511989827017     ,-0.19226375470451545  ,4.907324729578725e-05  ,0.000785171956732596
18  ,0.32                   ,5.76           ,0.16387301826962564    ,-0.35187421377404143  ,0.16351267138443687    ,-0.3526445237337288   ,5.6695181518118047e-05 ,0.0009071229042898887
19  ,0.32                   ,6.08           ,0.030607147708022864   ,-0.4719700000591756   ,0.030028146784833676   ,-0.47269998229323945  ,6.211516655384825e-05  ,0.000993842664861572
20  ,0.32                   ,6.4            ,-0.13079875403298638   ,-0.5222052822837296   ,-0.13157562542046392   ,-0.5227498066759971   ,6.324681692317438e-05  ,0.00101194907077079
21  ,0.32                   ,6.72           ,-0.29236171109419173   ,-0.4675216374970549   ,-0.29327746236533003   ,-0.4676615114806819   ,6.175813475476025e-05  ,0.000988130156076164
22  ,0.32                   ,7.04           ,-0.41625150492401014   ,-0.28657178815440354  ,-0.41718728073128364   ,-0.2860801761226258   ,7.047012767492293e-05  ,0.0011275220427987669
23  ,0.32                   ,7.36           ,-0.4650803037649941    ,-0.009347609975111859 ,-0.46582348686647956   ,-0.00822521766499304  ,8.974248641152004e-05  ,0.0014358797825843206
