n  ,h     ,x      ,v[1]_1                  ,v[2]_1                  ,v[1]_2                  ,v[2]_2                  ,ОЛП
0  ,0.0   ,0.0    ,26.0                    ,3.0                     ,26.0                    ,3.0                     ,0.0
1  ,0.04  ,0.04   ,26.11153179654321       ,2.5782165109465023      ,26.111531795195898      ,2.5782165119854796      ,1.8148157871917572e-09
2  ,0.08  ,0.12   ,26.284955220303356      ,1.7638362855674838      ,26.284955177430632      ,1.7638363194725355      ,5.8303096410991987e-08
3  ,0.16  ,0.28   ,26.44407034803745       ,0.2505759459992758      ,26.444069073799238      ,0.2505770066465496      ,1.7684341459574805e-06
4  ,0.32  ,0.6    ,26.0962231932695        ,-2.3270124003273716     ,26.096188511466448      ,-2.326980210328336      ,5.047287571652349e-05
5  ,0.32  ,0.92   ,25.015318554361066      ,-4.338087568633805      ,25.015269397875695      ,-4.338030737849461      ,8.014989053568806e-05
6  ,0.32  ,1.24   ,23.375317151957717      ,-5.829841801798196      ,23.37526921543896       ,-5.8297675202997805     ,9.429991432521884e-05
7  ,0.32  ,1.56   ,21.333896705248048      ,-6.856318982597777      ,21.333862245094565      ,-6.856234535767106      ,9.728777389105403e-05
8  ,0.32  ,1.88   ,19.030747073854716      ,-7.475441831767297      ,19.03073492935562       ,-7.475354127002299      ,9.444437171351047e-05
9  ,0.32  ,2.2    ,16.586744275834008      ,-7.746491327333951      ,16.586760061556024      ,-7.74640654601043       ,9.198762792183089e-05
10 ,0.32  ,2.52   ,14.103859856032365      ,-7.728028726909371      ,14.103906279020809      ,-7.72795209023796       ,9.557400750322271e-05
11 ,0.32  ,2.84   ,11.66566711270581       ,-7.476238856061231      ,11.665744372699624      ,-7.476174491019684      ,0.0001072621522913958
12 ,0.32  ,3.16   ,9.338314001900244       ,-7.043664512614856      ,9.338420238122294       ,-7.043615402766948      ,0.00012484061806085952
13 ,0.32  ,3.48   ,7.171843244123254       ,-6.478295640745174      ,7.171974997931127       ,-6.478263646303035      ,0.00014462171061062313
14 ,0.32  ,3.8    ,5.201752468378215       ,-5.822973037113705      ,5.2019051368448785      ,-5.822958968886649      ,0.0001635363009081301
15 ,0.32  ,4.12   ,3.4507004589065824      ,-5.115064440665555      ,3.4508687200025303      ,-5.115068173399143      ,0.00017952266097337458
16 ,0.32  ,4.44   ,1.93027913777662        ,-4.3863706060226555     ,1.9304573330604389      ,-4.386391217913069      ,0.0001913423082173356
17 ,0.32  ,4.76   ,0.6427843410544003      ,-3.663220056698718      ,0.6429668065148203      ,-3.663255983431267      ,0.00019836666202463247
18 ,0.32  ,5.08   ,-0.41706865627609324    ,-2.966713366054219      ,-0.41688731643261356    ,-2.966762559440388      ,0.0002004201895735693
19 ,0.32  ,5.4    ,-1.260526835260302      ,-2.3130807522977044     ,-1.2603515335620759     ,-2.3131408353703584     ,0.00019766648927771322
20 ,0.32  ,5.72   ,-1.9033092737883444     ,-1.7141202577232633     ,-1.9031442819987345     ,-1.7141886699111426     ,0.00019052027749539253
21 ,0.32  ,6.04   ,-2.3642661901660267     ,-1.177687600171051      ,-2.3641150358881915     ,-1.177761727845822      ,0.00017957588474517235
22 ,0.32  ,6.36   ,-2.66419962777666       ,-0.7082127552388076     ,-2.6640650400586634     ,-0.7082900444620035     ,0.00016554817132565872
23 ,0.32  ,6.68   ,-2.8248508750973476     ,-0.3072223000110431     ,-2.8247347728107863     ,-0.30730034967070596    ,0.0001492246854983344
24 ,0.32  ,7.0    ,-2.8680536260048797     ,0.02614959907143971     ,-2.8679571421229495     ,0.026072964373875684    ,0.00013142968012202087
25 ,0.32  ,7.32   ,-2.815046996314638      ,0.29467503504315995     ,-2.8149705309754025     ,0.29460171202482266     ,0.00011300231186149802
26 ,0.32  ,7.64   ,-2.6859387430951296     ,0.5025811756713014      ,-2.6858820384321054     ,0.5025127482169123      ,9.479381701954048e-05
27 ,0.32  ,7.96   ,-2.4993062839404647     ,0.655141157049014       ,-2.499268514025884      ,0.6550788791954983      ,7.769184016657546e-05
28 ,0.32  ,8.28   ,-2.271921272372102      ,0.7583115113913768      ,-2.271901142182194      ,0.7582563053637899      ,6.267907987267904e-05
29 ,0.32  ,8.6    ,-2.018582434803554      ,0.8184183025385142      ,-2.0185782828189742     ,0.8183707695090178      ,5.089495650539961e-05
30 ,0.32  ,8.92   ,-1.7520409944224844     ,0.8418922321579385      ,-1.7520508942661703     ,0.8418526732935515      ,4.3497388329689064e-05
31 ,0.64  ,9.56   ,-1.2201684633302237     ,0.8039640225737616      ,-1.2202244010889167     ,0.80390729234683        ,8.498161847787016e-05
32 ,0.64  ,10.2   ,-0.7388978248561451     ,0.6908416473679782      ,-0.7390219071850549     ,0.6908006843179707      ,0.0001393803003501257
33 ,0.64  ,10.84  ,-0.34355351166437803    ,0.5410730137975621      ,-0.3437395122502438     ,0.5410668327686843      ,0.00019851014307655174
34 ,0.64  ,11.48  ,-0.04774765631196626    ,0.3838465953448585      ,-0.04797269752107103    ,0.3838810975726709      ,0.0002428487510727207
35 ,0.64  ,12.12  ,0.1505755750572038      ,0.2390336794444874      ,0.15034064973862837     ,0.23910459016359162     ,0.0002617536438057683
36 ,0.64  ,12.76  ,0.2634726749641917      ,0.1182400250881383      ,0.2632554697845304      ,0.11833666725369717     ,0.00025358370389556075
37 ,0.64  ,13.4   ,0.3082024872331563      ,0.026400780200981216    ,0.3080241400703636      ,0.026509748194312975    ,0.000222935206491532
38 ,0.64  ,14.04  ,0.3035225014896737      ,-0.03644531300377751    ,0.30339547039687154     ,-0.03633715519080949    ,0.00017796082998983693
39 ,0.64  ,14.68  ,0.26710669038175994     ,-0.07345969846537342    ,0.2670346824733351      ,-0.07336315726424021    ,0.00012846733527488978
40 ,0.64  ,15.32  ,0.21397920166799636     ,-0.08954512573575868    ,0.21395855100708822     ,-0.0894675809073181     ,8.559725994416277e-05
41 ,0.64  ,15.96  ,0.1557832658597029      ,-0.09020203303558187    ,0.1558050828287279      ,-0.09014717155919409    ,6.297636250017643e-05
42 ,0.64  ,16.6   ,0.10067561326913697     ,-0.0807164043303836     ,0.10072813803062054     ,-0.08068457134288341    ,6.551269778518066e-05
43 ,0.64  ,17.24  ,0.05364077161495936     ,-0.06565324773173609    ,0.05371151948368112     ,-0.06564217823737142    ,7.638252930976314e-05
44 ,0.64  ,17.88  ,0.01704487795960044     ,-0.04860522910655253    ,0.01712232693931711     ,-0.04861094375090187    ,8.28368252654525e-05
45 ,0.64  ,18.52  ,-0.008715047469473877   ,-0.03213547627165122    ,-0.008640332541261673   ,-0.03215316867716253    ,8.189987051668059e-05
46 ,0.64  ,19.16  ,-0.024570882423078234   ,-0.0178534066451599     ,-0.024505682750482555   ,-0.017878204017583277   ,7.440645695804064e-05
47 ,0.64  ,19.8   ,-0.032219462560946974   ,-0.006569046036740465   ,-0.032167813969033045   ,-0.006596578042042555   ,6.243042779632885e-05
48 ,0.64  ,20.44  ,-0.033670413712096135   ,0.0015183823714590445   ,-0.033633869696710214   ,0.0014916261427361712   ,4.8311414524946424e-05
49 ,1.28  ,21.72  ,-0.025753505914610137   ,0.009274845438648689    ,-0.025712890891781998   ,0.009221084466096008    ,7.187008327623565e-05
50 ,1.28  ,23.0   ,-0.01329434716475934    ,0.00931943027137377     ,-0.013307229849656186   ,0.009275352086843422    ,4.898369705844707e-05
51 ,2.56  ,25.56  ,0.00271232180325166     ,0.002618619705681233    ,0.0021047344673145053   ,0.0025344466526079946   ,0.0006542828245258706
52 ,2.56  ,28.12  ,0.003746381002932991    ,-0.001308766404326014   ,0.003061427028859813    ,-0.0009307377434896369  ,0.0008345040029014454
